Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-07-18,,-1,Overleden,0,18
2020-07-18,,-1,Totaal,2,490
2020-07-18,,-1,Ziekenhuisopname,0,61
2020-07-18,Groningen,20,Overleden,0,17
2020-07-18,Groningen,20,Totaal,0,367
2020-07-18,Groningen,20,Ziekenhuisopname,0,74
2020-07-18,Friesland,21,Overleden,0,69
2020-07-18,Friesland,21,Totaal,1,643
2020-07-18,Friesland,21,Ziekenhuisopname,0,130
2020-07-18,Drenthe,22,Overleden,0,41
2020-07-18,Drenthe,22,Totaal,3,539
2020-07-18,Drenthe,22,Ziekenhuisopname,1,118
2020-07-18,Overijssel,23,Overleden,0,311
2020-07-18,Overijssel,23,Totaal,2,3139
2020-07-18,Overijssel,23,Ziekenhuisopname,0,546
2020-07-18,Flevoland,24,Overleden,0,92
2020-07-18,Flevoland,24,Totaal,0,981
2020-07-18,Flevoland,24,Ziekenhuisopname,0,264
2020-07-18,Gelderland,25,Overleden,0,684
2020-07-18,Gelderland,25,Totaal,6,6524
2020-07-18,Gelderland,25,Ziekenhuisopname,0,1512
2020-07-18,Utrecht,26,Overleden,0,429
2020-07-18,Utrecht,26,Totaal,10,4147
2020-07-18,Utrecht,26,Ziekenhuisopname,0,884
2020-07-18,Noord-Holland,27,Overleden,-3,814
2020-07-18,Noord-Holland,27,Totaal,20,7479
2020-07-18,Noord-Holland,27,Ziekenhuisopname,-2,1635
2020-07-18,Zuid-Holland,28,Overleden,0,1305
2020-07-18,Zuid-Holland,28,Totaal,48,11834
2020-07-18,Zuid-Holland,28,Ziekenhuisopname,0,2197
2020-07-18,Zeeland,29,Overleden,0,69
2020-07-18,Zeeland,29,Totaal,14,785
2020-07-18,Zeeland,29,Ziekenhuisopname,1,151
2020-07-18,Noord-Brabant,30,Overleden,0,1535
2020-07-18,Noord-Brabant,30,Totaal,16,9763
2020-07-18,Noord-Brabant,30,Ziekenhuisopname,0,2761
2020-07-18,Limburg,31,Overleden,1,752
2020-07-18,Limburg,31,Totaal,5,4890
2020-07-18,Limburg,31,Ziekenhuisopname,1,1562
