Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-08-05,,-1,Overleden,0,18
2020-08-05,,-1,Totaal,6,527
2020-08-05,,-1,Ziekenhuisopname,0,62
2020-08-05,Groningen,20,Overleden,0,17
2020-08-05,Groningen,20,Totaal,5,405
2020-08-05,Groningen,20,Ziekenhuisopname,0,74
2020-08-05,Friesland,21,Overleden,0,69
2020-08-05,Friesland,21,Totaal,0,657
2020-08-05,Friesland,21,Ziekenhuisopname,0,130
2020-08-05,Drenthe,22,Overleden,0,41
2020-08-05,Drenthe,22,Totaal,5,559
2020-08-05,Drenthe,22,Ziekenhuisopname,0,119
2020-08-05,Overijssel,23,Overleden,0,311
2020-08-05,Overijssel,23,Totaal,5,3202
2020-08-05,Overijssel,23,Ziekenhuisopname,0,547
2020-08-05,Flevoland,24,Overleden,0,93
2020-08-05,Flevoland,24,Totaal,3,1036
2020-08-05,Flevoland,24,Ziekenhuisopname,0,269
2020-08-05,Gelderland,25,Overleden,0,684
2020-08-05,Gelderland,25,Totaal,7,6672
2020-08-05,Gelderland,25,Ziekenhuisopname,0,1511
2020-08-05,Utrecht,26,Overleden,1,432
2020-08-05,Utrecht,26,Totaal,25,4480
2020-08-05,Utrecht,26,Ziekenhuisopname,0,891
2020-08-05,Noord-Holland,27,Overleden,0,815
2020-08-05,Noord-Holland,27,Totaal,89,8590
2020-08-05,Noord-Holland,27,Ziekenhuisopname,1,1655
2020-08-05,Zuid-Holland,28,Overleden,1,1312
2020-08-05,Zuid-Holland,28,Totaal,215,14052
2020-08-05,Zuid-Holland,28,Ziekenhuisopname,2,2220
2020-08-05,Zeeland,29,Overleden,0,69
2020-08-05,Zeeland,29,Totaal,6,896
2020-08-05,Zeeland,29,Ziekenhuisopname,0,152
2020-08-05,Noord-Brabant,30,Overleden,1,1538
2020-08-05,Noord-Brabant,30,Totaal,53,10356
2020-08-05,Noord-Brabant,30,Ziekenhuisopname,2,2771
2020-08-05,Limburg,31,Overleden,0,754
2020-08-05,Limburg,31,Totaal,7,4949
2020-08-05,Limburg,31,Ziekenhuisopname,0,1563
