Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-01-14,,-1,Overleden,0,32
2021-01-14,,-1,Totaal,2,3740
2021-01-14,,-1,Ziekenhuisopname,0,111
2021-01-14,Groningen,20,Overleden,0,112
2021-01-14,Groningen,20,Totaal,185,16581
2021-01-14,Groningen,20,Ziekenhuisopname,2,198
2021-01-14,Friesland,21,Overleden,1,207
2021-01-14,Friesland,21,Totaal,238,17995
2021-01-14,Friesland,21,Ziekenhuisopname,3,263
2021-01-14,Drenthe,22,Overleden,7,194
2021-01-14,Drenthe,22,Totaal,237,16384
2021-01-14,Drenthe,22,Ziekenhuisopname,1,293
2021-01-14,Overijssel,23,Overleden,7,834
2021-01-14,Overijssel,23,Totaal,517,63276
2021-01-14,Overijssel,23,Ziekenhuisopname,6,967
2021-01-14,Flevoland,24,Overleden,2,174
2021-01-14,Flevoland,24,Totaal,157,22082
2021-01-14,Flevoland,24,Ziekenhuisopname,-1,477
2021-01-14,Gelderland,25,Overleden,14,1472
2021-01-14,Gelderland,25,Totaal,881,101802
2021-01-14,Gelderland,25,Ziekenhuisopname,8,2346
2021-01-14,Utrecht,26,Overleden,12,956
2021-01-14,Utrecht,26,Totaal,370,73551
2021-01-14,Utrecht,26,Ziekenhuisopname,3,1735
2021-01-14,Noord-Holland,27,Overleden,5,1849
2021-01-14,Noord-Holland,27,Totaal,1068,151361
2021-01-14,Noord-Holland,27,Ziekenhuisopname,6,3259
2021-01-14,Zuid-Holland,28,Overleden,27,3094
2021-01-14,Zuid-Holland,28,Totaal,1161,220205
2021-01-14,Zuid-Holland,28,Ziekenhuisopname,34,5205
2021-01-14,Zeeland,29,Overleden,0,143
2021-01-14,Zeeland,29,Totaal,144,12470
2021-01-14,Zeeland,29,Ziekenhuisopname,0,335
2021-01-14,Noord-Brabant,30,Overleden,7,2518
2021-01-14,Noord-Brabant,30,Totaal,881,138889
2021-01-14,Noord-Brabant,30,Ziekenhuisopname,8,3946
2021-01-14,Limburg,31,Overleden,7,1179
2021-01-14,Limburg,31,Totaal,601,55830
2021-01-14,Limburg,31,Ziekenhuisopname,6,2045
