Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-08-14,,-1,Overleden,0,18
2020-08-14,,-1,Totaal,2,570
2020-08-14,,-1,Ziekenhuisopname,0,64
2020-08-14,Groningen,20,Overleden,0,17
2020-08-14,Groningen,20,Totaal,12,482
2020-08-14,Groningen,20,Ziekenhuisopname,0,74
2020-08-14,Friesland,21,Overleden,0,69
2020-08-14,Friesland,21,Totaal,11,721
2020-08-14,Friesland,21,Ziekenhuisopname,0,130
2020-08-14,Drenthe,22,Overleden,0,41
2020-08-14,Drenthe,22,Totaal,1,579
2020-08-14,Drenthe,22,Ziekenhuisopname,0,119
2020-08-14,Overijssel,23,Overleden,0,311
2020-08-14,Overijssel,23,Totaal,17,3301
2020-08-14,Overijssel,23,Ziekenhuisopname,1,548
2020-08-14,Flevoland,24,Overleden,0,93
2020-08-14,Flevoland,24,Totaal,19,1140
2020-08-14,Flevoland,24,Ziekenhuisopname,1,273
2020-08-14,Gelderland,25,Overleden,0,685
2020-08-14,Gelderland,25,Totaal,25,6901
2020-08-14,Gelderland,25,Ziekenhuisopname,0,1512
2020-08-14,Utrecht,26,Overleden,0,432
2020-08-14,Utrecht,26,Totaal,36,4859
2020-08-14,Utrecht,26,Ziekenhuisopname,0,892
2020-08-14,Noord-Holland,27,Overleden,1,820
2020-08-14,Noord-Holland,27,Totaal,194,10031
2020-08-14,Noord-Holland,27,Ziekenhuisopname,1,1671
2020-08-14,Zuid-Holland,28,Overleden,1,1315
2020-08-14,Zuid-Holland,28,Totaal,227,16239
2020-08-14,Zuid-Holland,28,Ziekenhuisopname,6,2245
2020-08-14,Zeeland,29,Overleden,0,69
2020-08-14,Zeeland,29,Totaal,3,957
2020-08-14,Zeeland,29,Ziekenhuisopname,0,152
2020-08-14,Noord-Brabant,30,Overleden,0,1543
2020-08-14,Noord-Brabant,30,Totaal,71,10995
2020-08-14,Noord-Brabant,30,Ziekenhuisopname,1,2775
2020-08-14,Limburg,31,Overleden,0,754
2020-08-14,Limburg,31,Totaal,18,5065
2020-08-14,Limburg,31,Ziekenhuisopname,1,1565
