Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-02-08,,-1,Overleden,0,33
2021-02-08,,-1,Totaal,1,3610
2021-02-08,,-1,Ziekenhuisopname,1,110
2021-02-08,Groningen,20,Overleden,0,151
2021-02-08,Groningen,20,Totaal,50,19905
2021-02-08,Groningen,20,Ziekenhuisopname,0,232
2021-02-08,Friesland,21,Overleden,3,300
2021-02-08,Friesland,21,Totaal,149,22848
2021-02-08,Friesland,21,Ziekenhuisopname,1,307
2021-02-08,Drenthe,22,Overleden,0,257
2021-02-08,Drenthe,22,Totaal,107,19399
2021-02-08,Drenthe,22,Ziekenhuisopname,1,338
2021-02-08,Overijssel,23,Overleden,1,979
2021-02-08,Overijssel,23,Totaal,133,71578
2021-02-08,Overijssel,23,Ziekenhuisopname,0,1070
2021-02-08,Flevoland,24,Overleden,1,198
2021-02-08,Flevoland,24,Totaal,72,24420
2021-02-08,Flevoland,24,Ziekenhuisopname,2,503
2021-02-08,Gelderland,25,Overleden,2,1697
2021-02-08,Gelderland,25,Totaal,149,114717
2021-02-08,Gelderland,25,Ziekenhuisopname,3,2475
2021-02-08,Utrecht,26,Overleden,0,1037
2021-02-08,Utrecht,26,Totaal,152,80776
2021-02-08,Utrecht,26,Ziekenhuisopname,4,1899
2021-02-08,Noord-Holland,27,Overleden,4,2065
2021-02-08,Noord-Holland,27,Totaal,388,170095
2021-02-08,Noord-Holland,27,Ziekenhuisopname,8,3520
2021-02-08,Zuid-Holland,28,Overleden,13,3492
2021-02-08,Zuid-Holland,28,Totaal,409,240449
2021-02-08,Zuid-Holland,28,Ziekenhuisopname,14,5743
2021-02-08,Zeeland,29,Overleden,0,160
2021-02-08,Zeeland,29,Totaal,50,14921
2021-02-08,Zeeland,29,Ziekenhuisopname,1,421
2021-02-08,Noord-Brabant,30,Overleden,0,2720
2021-02-08,Noord-Brabant,30,Totaal,336,157410
2021-02-08,Noord-Brabant,30,Ziekenhuisopname,1,4141
2021-02-08,Limburg,31,Overleden,1,1329
2021-02-08,Limburg,31,Totaal,222,66076
2021-02-08,Limburg,31,Ziekenhuisopname,3,2162
