Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-07-04,,-1,Overleden,0,18
2020-07-04,,-1,Totaal,-1,497
2020-07-04,,-1,Ziekenhuisopname,0,61
2020-07-04,Groningen,20,Overleden,0,17
2020-07-04,Groningen,20,Totaal,0,362
2020-07-04,Groningen,20,Ziekenhuisopname,0,74
2020-07-04,Friesland,21,Overleden,4,69
2020-07-04,Friesland,21,Totaal,1,634
2020-07-04,Friesland,21,Ziekenhuisopname,0,130
2020-07-04,Drenthe,22,Overleden,0,41
2020-07-04,Drenthe,22,Totaal,-2,532
2020-07-04,Drenthe,22,Ziekenhuisopname,0,117
2020-07-04,Overijssel,23,Overleden,1,310
2020-07-04,Overijssel,23,Totaal,0,3107
2020-07-04,Overijssel,23,Ziekenhuisopname,0,548
2020-07-04,Flevoland,24,Overleden,0,92
2020-07-04,Flevoland,24,Totaal,2,988
2020-07-04,Flevoland,24,Ziekenhuisopname,0,266
2020-07-04,Gelderland,25,Overleden,0,686
2020-07-04,Gelderland,25,Totaal,1,6488
2020-07-04,Gelderland,25,Ziekenhuisopname,0,1511
2020-07-04,Utrecht,26,Overleden,0,427
2020-07-04,Utrecht,26,Totaal,11,4036
2020-07-04,Utrecht,26,Ziekenhuisopname,0,880
2020-07-04,Noord-Holland,27,Overleden,0,816
2020-07-04,Noord-Holland,27,Totaal,12,7302
2020-07-04,Noord-Holland,27,Ziekenhuisopname,0,1637
2020-07-04,Zuid-Holland,28,Overleden,1,1296
2020-07-04,Zuid-Holland,28,Totaal,22,11362
2020-07-04,Zuid-Holland,28,Ziekenhuisopname,1,2185
2020-07-04,Zeeland,29,Overleden,0,69
2020-07-04,Zeeland,29,Totaal,1,736
2020-07-04,Zeeland,29,Ziekenhuisopname,0,150
2020-07-04,Noord-Brabant,30,Overleden,0,1536
2020-07-04,Noord-Brabant,30,Totaal,13,9629
2020-07-04,Noord-Brabant,30,Ziekenhuisopname,0,2762
2020-07-04,Limburg,31,Overleden,0,749
2020-07-04,Limburg,31,Totaal,1,4875
2020-07-04,Limburg,31,Ziekenhuisopname,0,1562
