Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-10-03,,-1,Overleden,0,18
2020-10-03,,-1,Totaal,43,1106
2020-10-03,,-1,Ziekenhuisopname,1,75
2020-10-03,Groningen,20,Overleden,0,20
2020-10-03,Groningen,20,Totaal,207,2147
2020-10-03,Groningen,20,Ziekenhuisopname,0,76
2020-10-03,Friesland,21,Overleden,1,70
2020-10-03,Friesland,21,Totaal,69,1852
2020-10-03,Friesland,21,Ziekenhuisopname,0,139
2020-10-03,Drenthe,22,Overleden,2,51
2020-10-03,Drenthe,22,Totaal,56,1379
2020-10-03,Drenthe,22,Ziekenhuisopname,0,124
2020-10-03,Overijssel,23,Overleden,1,345
2020-10-03,Overijssel,23,Totaal,90,5544
2020-10-03,Overijssel,23,Ziekenhuisopname,2,572
2020-10-03,Flevoland,24,Overleden,1,101
2020-10-03,Flevoland,24,Totaal,66,2408
2020-10-03,Flevoland,24,Ziekenhuisopname,2,292
2020-10-03,Gelderland,25,Overleden,0,703
2020-10-03,Gelderland,25,Totaal,264,12679
2020-10-03,Gelderland,25,Ziekenhuisopname,1,1575
2020-10-03,Utrecht,26,Overleden,7,450
2020-10-03,Utrecht,26,Totaal,411,10639
2020-10-03,Utrecht,26,Ziekenhuisopname,2,972
2020-10-03,Noord-Holland,27,Overleden,2,870
2020-10-03,Noord-Holland,27,Totaal,797,27047
2020-10-03,Noord-Holland,27,Ziekenhuisopname,8,1890
2020-10-03,Zuid-Holland,28,Overleden,5,1420
2020-10-03,Zuid-Holland,28,Totaal,1273,39657
2020-10-03,Zuid-Holland,28,Ziekenhuisopname,13,2563
2020-10-03,Zeeland,29,Overleden,0,72
2020-10-03,Zeeland,29,Totaal,23,1450
2020-10-03,Zeeland,29,Ziekenhuisopname,0,155
2020-10-03,Noord-Brabant,30,Overleden,1,1564
2020-10-03,Noord-Brabant,30,Totaal,556,18980
2020-10-03,Noord-Brabant,30,Ziekenhuisopname,1,2833
2020-10-03,Limburg,31,Overleden,1,765
2020-10-03,Limburg,31,Totaal,112,7001
2020-10-03,Limburg,31,Ziekenhuisopname,0,1591
