Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-03-02,,-1,Overleden,0,33
2021-03-02,,-1,Totaal,6,3858
2021-03-02,,-1,Ziekenhuisopname,0,111
2021-03-02,Groningen,20,Overleden,6,187
2021-03-02,Groningen,20,Totaal,107,23077
2021-03-02,Groningen,20,Ziekenhuisopname,1,261
2021-03-02,Friesland,21,Overleden,7,399
2021-03-02,Friesland,21,Totaal,131,26618
2021-03-02,Friesland,21,Ziekenhuisopname,2,366
2021-03-02,Drenthe,22,Overleden,1,292
2021-03-02,Drenthe,22,Totaal,162,22039
2021-03-02,Drenthe,22,Ziekenhuisopname,4,385
2021-03-02,Overijssel,23,Overleden,0,1036
2021-03-02,Overijssel,23,Totaal,264,76212
2021-03-02,Overijssel,23,Ziekenhuisopname,3,1142
2021-03-02,Flevoland,24,Overleden,5,216
2021-03-02,Flevoland,24,Totaal,76,25943
2021-03-02,Flevoland,24,Ziekenhuisopname,1,533
2021-03-02,Gelderland,25,Overleden,4,1816
2021-03-02,Gelderland,25,Totaal,417,122672
2021-03-02,Gelderland,25,Ziekenhuisopname,1,2544
2021-03-02,Utrecht,26,Overleden,1,1134
2021-03-02,Utrecht,26,Totaal,302,87157
2021-03-02,Utrecht,26,Ziekenhuisopname,3,2018
2021-03-02,Noord-Holland,27,Overleden,10,2268
2021-03-02,Noord-Holland,27,Totaal,766,188142
2021-03-02,Noord-Holland,27,Ziekenhuisopname,14,3744
2021-03-02,Zuid-Holland,28,Overleden,17,3764
2021-03-02,Zuid-Holland,28,Totaal,886,258037
2021-03-02,Zuid-Holland,28,Ziekenhuisopname,17,6223
2021-03-02,Zeeland,29,Overleden,2,180
2021-03-02,Zeeland,29,Totaal,94,16707
2021-03-02,Zeeland,29,Ziekenhuisopname,0,462
2021-03-02,Noord-Brabant,30,Overleden,6,2877
2021-03-02,Noord-Brabant,30,Totaal,554,171939
2021-03-02,Noord-Brabant,30,Ziekenhuisopname,6,4293
2021-03-02,Limburg,31,Overleden,5,1435
2021-03-02,Limburg,31,Totaal,201,71995
2021-03-02,Limburg,31,Ziekenhuisopname,1,2229
