Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-05-14,,-1,Overleden,0,17
2020-05-14,,-1,Totaal,1,371
2020-05-14,,-1,Ziekenhuisopname,1,62
2020-05-14,Groningen,20,Overleden,0,14
2020-05-14,Groningen,20,Totaal,1,344
2020-05-14,Groningen,20,Ziekenhuisopname,0,74
2020-05-14,Friesland,21,Overleden,1,60
2020-05-14,Friesland,21,Totaal,2,592
2020-05-14,Friesland,21,Ziekenhuisopname,0,128
2020-05-14,Drenthe,22,Overleden,0,38
2020-05-14,Drenthe,22,Totaal,0,497
2020-05-14,Drenthe,22,Ziekenhuisopname,0,116
2020-05-14,Overijssel,23,Overleden,2,292
2020-05-14,Overijssel,23,Totaal,12,2883
2020-05-14,Overijssel,23,Ziekenhuisopname,1,545
2020-05-14,Flevoland,24,Overleden,0,73
2020-05-14,Flevoland,24,Totaal,2,863
2020-05-14,Flevoland,24,Ziekenhuisopname,0,261
2020-05-14,Gelderland,25,Overleden,4,638
2020-05-14,Gelderland,25,Totaal,25,5483
2020-05-14,Gelderland,25,Ziekenhuisopname,11,1410
2020-05-14,Utrecht,26,Overleden,2,386
2020-05-14,Utrecht,26,Totaal,21,3272
2020-05-14,Utrecht,26,Ziekenhuisopname,0,847
2020-05-14,Noord-Holland,27,Overleden,8,746
2020-05-14,Noord-Holland,27,Totaal,52,6335
2020-05-14,Noord-Holland,27,Ziekenhuisopname,2,1583
2020-05-14,Zuid-Holland,28,Overleden,4,1096
2020-05-14,Zuid-Holland,28,Totaal,86,9161
2020-05-14,Zuid-Holland,28,Ziekenhuisopname,9,2039
2020-05-14,Zeeland,29,Overleden,0,62
2020-05-14,Zeeland,29,Totaal,2,630
2020-05-14,Zeeland,29,Ziekenhuisopname,0,150
2020-05-14,Noord-Brabant,30,Overleden,3,1472
2020-05-14,Noord-Brabant,30,Totaal,47,8590
2020-05-14,Noord-Brabant,30,Ziekenhuisopname,1,2714
2020-05-14,Limburg,31,Overleden,4,696
2020-05-14,Limburg,31,Totaal,19,4460
2020-05-14,Limburg,31,Ziekenhuisopname,2,1528
