Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-07-01,,-1,Overleden,0,18
2020-07-01,,-1,Totaal,1,494
2020-07-01,,-1,Ziekenhuisopname,0,61
2020-07-01,Groningen,20,Overleden,0,17
2020-07-01,Groningen,20,Totaal,0,362
2020-07-01,Groningen,20,Ziekenhuisopname,0,74
2020-07-01,Friesland,21,Overleden,0,65
2020-07-01,Friesland,21,Totaal,0,631
2020-07-01,Friesland,21,Ziekenhuisopname,0,130
2020-07-01,Drenthe,22,Overleden,0,41
2020-07-01,Drenthe,22,Totaal,0,533
2020-07-01,Drenthe,22,Ziekenhuisopname,0,117
2020-07-01,Overijssel,23,Overleden,0,309
2020-07-01,Overijssel,23,Totaal,2,3100
2020-07-01,Overijssel,23,Ziekenhuisopname,0,548
2020-07-01,Flevoland,24,Overleden,0,91
2020-07-01,Flevoland,24,Totaal,1,985
2020-07-01,Flevoland,24,Ziekenhuisopname,0,266
2020-07-01,Gelderland,25,Overleden,1,685
2020-07-01,Gelderland,25,Totaal,6,6478
2020-07-01,Gelderland,25,Ziekenhuisopname,0,1511
2020-07-01,Utrecht,26,Overleden,0,426
2020-07-01,Utrecht,26,Totaal,4,4022
2020-07-01,Utrecht,26,Ziekenhuisopname,0,879
2020-07-01,Noord-Holland,27,Overleden,0,816
2020-07-01,Noord-Holland,27,Totaal,12,7251
2020-07-01,Noord-Holland,27,Ziekenhuisopname,0,1637
2020-07-01,Zuid-Holland,28,Overleden,1,1294
2020-07-01,Zuid-Holland,28,Totaal,25,11280
2020-07-01,Zuid-Holland,28,Ziekenhuisopname,0,2181
2020-07-01,Zeeland,29,Overleden,0,69
2020-07-01,Zeeland,29,Totaal,0,732
2020-07-01,Zeeland,29,Ziekenhuisopname,0,150
2020-07-01,Noord-Brabant,30,Overleden,0,1535
2020-07-01,Noord-Brabant,30,Totaal,8,9601
2020-07-01,Noord-Brabant,30,Ziekenhuisopname,1,2762
2020-07-01,Limburg,31,Overleden,0,749
2020-07-01,Limburg,31,Totaal,3,4866
2020-07-01,Limburg,31,Ziekenhuisopname,0,1562
