Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-04-17,,-1,Overleden,0,13
2020-04-17,,-1,Totaal,4,326
2020-04-17,,-1,Ziekenhuisopname,-1,53
2020-04-17,Groningen,20,Overleden,1,9
2020-04-17,Groningen,20,Totaal,6,291
2020-04-17,Groningen,20,Ziekenhuisopname,0,65
2020-04-17,Friesland,21,Overleden,1,36
2020-04-17,Friesland,21,Totaal,22,445
2020-04-17,Friesland,21,Ziekenhuisopname,1,114
2020-04-17,Drenthe,22,Overleden,1,21
2020-04-17,Drenthe,22,Totaal,15,355
2020-04-17,Drenthe,22,Ziekenhuisopname,2,91
2020-04-17,Overijssel,23,Overleden,6,185
2020-04-17,Overijssel,23,Totaal,115,2130
2020-04-17,Overijssel,23,Ziekenhuisopname,3,489
2020-04-17,Flevoland,24,Overleden,0,26
2020-04-17,Flevoland,24,Totaal,48,505
2020-04-17,Flevoland,24,Ziekenhuisopname,2,210
2020-04-17,Gelderland,25,Overleden,19,393
2020-04-17,Gelderland,25,Totaal,162,3700
2020-04-17,Gelderland,25,Ziekenhuisopname,27,1095
2020-04-17,Utrecht,26,Overleden,9,240
2020-04-17,Utrecht,26,Totaal,69,2171
2020-04-17,Utrecht,26,Ziekenhuisopname,13,700
2020-04-17,Noord-Holland,27,Overleden,18,436
2020-04-17,Noord-Holland,27,Totaal,207,4493
2020-04-17,Noord-Holland,27,Ziekenhuisopname,31,1343
2020-04-17,Zuid-Holland,28,Overleden,44,492
2020-04-17,Zuid-Holland,28,Totaal,264,6002
2020-04-17,Zuid-Holland,28,Ziekenhuisopname,32,1596
2020-04-17,Zeeland,29,Overleden,1,45
2020-04-17,Zeeland,29,Totaal,20,497
2020-04-17,Zeeland,29,Ziekenhuisopname,6,132
2020-04-17,Noord-Brabant,30,Overleden,31,1072
2020-04-17,Noord-Brabant,30,Totaal,167,6393
2020-04-17,Noord-Brabant,30,Ziekenhuisopname,27,2236
2020-04-17,Limburg,31,Overleden,13,491
2020-04-17,Limburg,31,Totaal,136,3141
2020-04-17,Limburg,31,Ziekenhuisopname,13,1341
