Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-02-10,,-1,Overleden,0,32
2021-02-10,,-1,Totaal,13,3609
2021-02-10,,-1,Ziekenhuisopname,0,108
2021-02-10,Groningen,20,Overleden,3,159
2021-02-10,Groningen,20,Totaal,131,20085
2021-02-10,Groningen,20,Ziekenhuisopname,2,237
2021-02-10,Friesland,21,Overleden,10,319
2021-02-10,Friesland,21,Totaal,120,23059
2021-02-10,Friesland,21,Ziekenhuisopname,7,317
2021-02-10,Drenthe,22,Overleden,1,264
2021-02-10,Drenthe,22,Totaal,81,19501
2021-02-10,Drenthe,22,Ziekenhuisopname,2,340
2021-02-10,Overijssel,23,Overleden,2,985
2021-02-10,Overijssel,23,Totaal,293,71922
2021-02-10,Overijssel,23,Ziekenhuisopname,5,1078
2021-02-10,Flevoland,24,Overleden,0,199
2021-02-10,Flevoland,24,Totaal,39,24486
2021-02-10,Flevoland,24,Ziekenhuisopname,2,507
2021-02-10,Gelderland,25,Overleden,13,1723
2021-02-10,Gelderland,25,Totaal,264,115176
2021-02-10,Gelderland,25,Ziekenhuisopname,2,2478
2021-02-10,Utrecht,26,Overleden,3,1043
2021-02-10,Utrecht,26,Totaal,265,81114
2021-02-10,Utrecht,26,Ziekenhuisopname,4,1907
2021-02-10,Noord-Holland,27,Overleden,14,2089
2021-02-10,Noord-Holland,27,Totaal,506,170988
2021-02-10,Noord-Holland,27,Ziekenhuisopname,6,3534
2021-02-10,Zuid-Holland,28,Overleden,17,3521
2021-02-10,Zuid-Holland,28,Totaal,579,241359
2021-02-10,Zuid-Holland,28,Ziekenhuisopname,24,5784
2021-02-10,Zeeland,29,Overleden,1,163
2021-02-10,Zeeland,29,Totaal,82,15021
2021-02-10,Zeeland,29,Ziekenhuisopname,0,425
2021-02-10,Noord-Brabant,30,Overleden,8,2737
2021-02-10,Noord-Brabant,30,Totaal,552,158327
2021-02-10,Noord-Brabant,30,Ziekenhuisopname,9,4157
2021-02-10,Limburg,31,Overleden,7,1346
2021-02-10,Limburg,31,Totaal,250,66471
2021-02-10,Limburg,31,Ziekenhuisopname,3,2171
