Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-04-19,RIVM_report_20200419,0-4,Totaal,2,67.0
2020-04-19,RIVM_report_20200419,5-9,Totaal,1,11.0
2020-04-19,RIVM_report_20200419,10-14,Totaal,1,43.0
2020-04-19,RIVM_report_20200419,15-19,Totaal,21,253.0
2020-04-19,RIVM_report_20200419,20-24,Totaal,73,1164.0
2020-04-19,RIVM_report_20200419,25-29,Totaal,58,1520.0
2020-04-19,RIVM_report_20200419,30-34,Totaal,48,1489.0
2020-04-19,RIVM_report_20200419,35-39,Totaal,58,1303.0
2020-04-19,RIVM_report_20200419,40-44,Totaal,55,1464.0
2020-04-19,RIVM_report_20200419,45-49,Totaal,87,2153.0
2020-04-19,RIVM_report_20200419,50-54,Totaal,114,2816.0
2020-04-19,RIVM_report_20200419,55-59,Totaal,119,3134.0
2020-04-19,RIVM_report_20200419,60-64,Totaal,88,2596.0
2020-04-19,RIVM_report_20200419,65-69,Totaal,26,1906.0
2020-04-19,RIVM_report_20200419,70-74,Totaal,30,2404.0
2020-04-19,RIVM_report_20200419,75-79,Totaal,45,2682.0
2020-04-19,RIVM_report_20200419,80-84,Totaal,78,2824.0
2020-04-19,RIVM_report_20200419,85-89,Totaal,87,2740.0
2020-04-19,RIVM_report_20200419,90-94,Totaal,51,1568.0
2020-04-19,RIVM_report_20200419,95+,Totaal,24,503.0
2020-04-19,RIVM_report_20200419,Niet vermeld,Totaal,0,15.0
2020-04-19,RIVM_report_20200419,0-4,Ziekenhuisopname,1,38.0
2020-04-19,RIVM_report_20200419,5-9,Ziekenhuisopname,0,2.0
2020-04-19,RIVM_report_20200419,10-14,Ziekenhuisopname,0,6.0
2020-04-19,RIVM_report_20200419,15-19,Ziekenhuisopname,1,22.0
2020-04-19,RIVM_report_20200419,20-24,Ziekenhuisopname,0,45.0
2020-04-19,RIVM_report_20200419,25-29,Ziekenhuisopname,0,89.0
2020-04-19,RIVM_report_20200419,30-34,Ziekenhuisopname,4,115.0
2020-04-19,RIVM_report_20200419,35-39,Ziekenhuisopname,2,155.0
2020-04-19,RIVM_report_20200419,40-44,Ziekenhuisopname,5,230.0
2020-04-19,RIVM_report_20200419,45-49,Ziekenhuisopname,6,461.0
2020-04-19,RIVM_report_20200419,50-54,Ziekenhuisopname,9,687.0
2020-04-19,RIVM_report_20200419,55-59,Ziekenhuisopname,10,911.0
2020-04-19,RIVM_report_20200419,60-64,Ziekenhuisopname,11,1056.0
2020-04-19,RIVM_report_20200419,65-69,Ziekenhuisopname,15,1133.0
2020-04-19,RIVM_report_20200419,70-74,Ziekenhuisopname,10,1454.0
2020-04-19,RIVM_report_20200419,75-79,Ziekenhuisopname,14,1398.0
2020-04-19,RIVM_report_20200419,80-84,Ziekenhuisopname,11,1031.0
2020-04-19,RIVM_report_20200419,85-89,Ziekenhuisopname,5,646.0
2020-04-19,RIVM_report_20200419,90-94,Ziekenhuisopname,4,189.0
2020-04-19,RIVM_report_20200419,95+,Ziekenhuisopname,2,35.0
2020-04-19,RIVM_report_20200419,Niet vermeld,Ziekenhuisopname,0,1.0
2020-04-19,RIVM_report_20200419,0-4,Overleden,0,0.0
2020-04-19,RIVM_report_20200419,5-9,Overleden,0,0.0
2020-04-19,RIVM_report_20200419,10-14,Overleden,0,0.0
2020-04-19,RIVM_report_20200419,15-19,Overleden,0,1.0
2020-04-19,RIVM_report_20200419,20-24,Overleden,0,0.0
2020-04-19,RIVM_report_20200419,25-29,Overleden,0,3.0
2020-04-19,RIVM_report_20200419,30-34,Overleden,0,2.0
2020-04-19,RIVM_report_20200419,35-39,Overleden,0,4.0
2020-04-19,RIVM_report_20200419,40-44,Overleden,0,4.0
2020-04-19,RIVM_report_20200419,45-49,Overleden,0,9.0
2020-04-19,RIVM_report_20200419,50-54,Overleden,1,31.0
2020-04-19,RIVM_report_20200419,55-59,Overleden,3,56.0
2020-04-19,RIVM_report_20200419,60-64,Overleden,3,107.0
2020-04-19,RIVM_report_20200419,65-69,Overleden,4,225.0
2020-04-19,RIVM_report_20200419,70-74,Overleden,10,405.0
2020-04-19,RIVM_report_20200419,75-79,Overleden,12,679.0
2020-04-19,RIVM_report_20200419,80-84,Overleden,12,808.0
2020-04-19,RIVM_report_20200419,85-89,Overleden,18,786.0
2020-04-19,RIVM_report_20200419,90-94,Overleden,14,419.0
2020-04-19,RIVM_report_20200419,95+,Overleden,6,144.0
2020-04-19,RIVM_report_20200419,Niet vermeld,Overleden,0,1.0
