Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-04-16,RIVM_report_20200416,0-4,Totaal,0,62.0
2020-04-16,RIVM_report_20200416,5-9,Totaal,0,10.0
2020-04-16,RIVM_report_20200416,10-14,Totaal,-1,40.0
2020-04-16,RIVM_report_20200416,15-19,Totaal,11,204.0
2020-04-16,RIVM_report_20200416,20-24,Totaal,58,963.0
2020-04-16,RIVM_report_20200416,25-29,Totaal,61,1313.0
2020-04-16,RIVM_report_20200416,30-34,Totaal,55,1297.0
2020-04-16,RIVM_report_20200416,35-39,Totaal,48,1115.0
2020-04-16,RIVM_report_20200416,40-44,Totaal,49,1290.0
2020-04-16,RIVM_report_20200416,45-49,Totaal,77,1885.0
2020-04-16,RIVM_report_20200416,50-54,Totaal,109,2488.0
2020-04-16,RIVM_report_20200416,55-59,Totaal,113,2762.0
2020-04-16,RIVM_report_20200416,60-64,Totaal,75,2327.0
2020-04-16,RIVM_report_20200416,65-69,Totaal,33,1793.0
2020-04-16,RIVM_report_20200416,70-74,Totaal,34,2294.0
2020-04-16,RIVM_report_20200416,75-79,Totaal,67,2525.0
2020-04-16,RIVM_report_20200416,80-84,Totaal,87,2596.0
2020-04-16,RIVM_report_20200416,85-89,Totaal,80,2407.0
2020-04-16,RIVM_report_20200416,90-94,Totaal,81,1397.0
2020-04-16,RIVM_report_20200416,95+,Totaal,26,429.0
2020-04-16,RIVM_report_20200416,Niet vermeld,Totaal,-2,17.0
2020-04-16,RIVM_report_20200416,0-4,Ziekenhuisopname,1,37.0
2020-04-16,RIVM_report_20200416,5-9,Ziekenhuisopname,0,2.0
2020-04-16,RIVM_report_20200416,10-14,Ziekenhuisopname,0,6.0
2020-04-16,RIVM_report_20200416,15-19,Ziekenhuisopname,0,21.0
2020-04-16,RIVM_report_20200416,20-24,Ziekenhuisopname,2,40.0
2020-04-16,RIVM_report_20200416,25-29,Ziekenhuisopname,0,84.0
2020-04-16,RIVM_report_20200416,30-34,Ziekenhuisopname,1,102.0
2020-04-16,RIVM_report_20200416,35-39,Ziekenhuisopname,4,147.0
2020-04-16,RIVM_report_20200416,40-44,Ziekenhuisopname,1,217.0
2020-04-16,RIVM_report_20200416,45-49,Ziekenhuisopname,14,436.0
2020-04-16,RIVM_report_20200416,50-54,Ziekenhuisopname,20,656.0
2020-04-16,RIVM_report_20200416,55-59,Ziekenhuisopname,23,874.0
2020-04-16,RIVM_report_20200416,60-64,Ziekenhuisopname,17,1009.0
2020-04-16,RIVM_report_20200416,65-69,Ziekenhuisopname,14,1091.0
2020-04-16,RIVM_report_20200416,70-74,Ziekenhuisopname,21,1404.0
2020-04-16,RIVM_report_20200416,75-79,Ziekenhuisopname,24,1351.0
2020-04-16,RIVM_report_20200416,80-84,Ziekenhuisopname,19,1004.0
2020-04-16,RIVM_report_20200416,85-89,Ziekenhuisopname,10,617.0
2020-04-16,RIVM_report_20200416,90-94,Ziekenhuisopname,10,183.0
2020-04-16,RIVM_report_20200416,95+,Ziekenhuisopname,1,27.0
2020-04-16,RIVM_report_20200416,Niet vermeld,Ziekenhuisopname,0,1.0
2020-04-16,RIVM_report_20200416,0-4,Overleden,0,0.0
2020-04-16,RIVM_report_20200416,5-9,Overleden,0,0.0
2020-04-16,RIVM_report_20200416,10-14,Overleden,0,0.0
2020-04-16,RIVM_report_20200416,15-19,Overleden,0,0.0
2020-04-16,RIVM_report_20200416,20-24,Overleden,0,0.0
2020-04-16,RIVM_report_20200416,25-29,Overleden,0,3.0
2020-04-16,RIVM_report_20200416,30-34,Overleden,0,2.0
2020-04-16,RIVM_report_20200416,35-39,Overleden,1,4.0
2020-04-16,RIVM_report_20200416,40-44,Overleden,0,3.0
2020-04-16,RIVM_report_20200416,45-49,Overleden,0,8.0
2020-04-16,RIVM_report_20200416,50-54,Overleden,2,30.0
2020-04-16,RIVM_report_20200416,55-59,Overleden,1,53.0
2020-04-16,RIVM_report_20200416,60-64,Overleden,4,96.0
2020-04-16,RIVM_report_20200416,65-69,Overleden,7,203.0
2020-04-16,RIVM_report_20200416,70-74,Overleden,21,367.0
2020-04-16,RIVM_report_20200416,75-79,Overleden,31,629.0
2020-04-16,RIVM_report_20200416,80-84,Overleden,34,731.0
2020-04-16,RIVM_report_20200416,85-89,Overleden,36,705.0
2020-04-16,RIVM_report_20200416,90-94,Overleden,31,366.0
2020-04-16,RIVM_report_20200416,95+,Overleden,13,114.0
2020-04-16,RIVM_report_20200416,Niet vermeld,Overleden,0,1.0
