Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-05-03,RIVM_report_20200503,0-4,Totaal,0,73.0
2020-05-03,RIVM_report_20200503,5-9,Totaal,1,15.0
2020-05-03,RIVM_report_20200503,10-14,Totaal,0,50.0
2020-05-03,RIVM_report_20200503,15-19,Totaal,11,387.0
2020-05-03,RIVM_report_20200503,20-24,Totaal,19,1613.0
2020-05-03,RIVM_report_20200503,25-29,Totaal,24,1992.0
2020-05-03,RIVM_report_20200503,30-34,Totaal,11,1865.0
2020-05-03,RIVM_report_20200503,35-39,Totaal,11,1636.0
2020-05-03,RIVM_report_20200503,40-44,Totaal,20,1865.0
2020-05-03,RIVM_report_20200503,45-49,Totaal,28,2740.0
2020-05-03,RIVM_report_20200503,50-54,Totaal,31,3556.0
2020-05-03,RIVM_report_20200503,55-59,Totaal,32,3913.0
2020-05-03,RIVM_report_20200503,60-64,Totaal,22,3227.0
2020-05-03,RIVM_report_20200503,65-69,Totaal,18,2156.0
2020-05-03,RIVM_report_20200503,70-74,Totaal,8,2701.0
2020-05-03,RIVM_report_20200503,75-79,Totaal,12,3086.0
2020-05-03,RIVM_report_20200503,80-84,Totaal,21,3456.0
2020-05-03,RIVM_report_20200503,85-89,Totaal,35,3462.0
2020-05-03,RIVM_report_20200503,90-94,Totaal,24,2082.0
2020-05-03,RIVM_report_20200503,95+,Totaal,8,688.0
2020-05-03,RIVM_report_20200503,Niet vermeld,Totaal,-1,8.0
2020-05-03,RIVM_report_20200503,0-4,Ziekenhuisopname,0,43.0
2020-05-03,RIVM_report_20200503,5-9,Ziekenhuisopname,0,2.0
2020-05-03,RIVM_report_20200503,10-14,Ziekenhuisopname,0,7.0
2020-05-03,RIVM_report_20200503,15-19,Ziekenhuisopname,0,26.0
2020-05-03,RIVM_report_20200503,20-24,Ziekenhuisopname,0,51.0
2020-05-03,RIVM_report_20200503,25-29,Ziekenhuisopname,0,99.0
2020-05-03,RIVM_report_20200503,30-34,Ziekenhuisopname,2,144.0
2020-05-03,RIVM_report_20200503,35-39,Ziekenhuisopname,0,180.0
2020-05-03,RIVM_report_20200503,40-44,Ziekenhuisopname,1,264.0
2020-05-03,RIVM_report_20200503,45-49,Ziekenhuisopname,3,534.0
2020-05-03,RIVM_report_20200503,50-54,Ziekenhuisopname,7,792.0
2020-05-03,RIVM_report_20200503,55-59,Ziekenhuisopname,3,1057.0
2020-05-03,RIVM_report_20200503,60-64,Ziekenhuisopname,7,1206.0
2020-05-03,RIVM_report_20200503,65-69,Ziekenhuisopname,5,1277.0
2020-05-03,RIVM_report_20200503,70-74,Ziekenhuisopname,1,1602.0
2020-05-03,RIVM_report_20200503,75-79,Ziekenhuisopname,4,1542.0
2020-05-03,RIVM_report_20200503,80-84,Ziekenhuisopname,1,1154.0
2020-05-03,RIVM_report_20200503,85-89,Ziekenhuisopname,7,752.0
2020-05-03,RIVM_report_20200503,90-94,Ziekenhuisopname,3,224.0
2020-05-03,RIVM_report_20200503,95+,Ziekenhuisopname,0,38.0
2020-05-03,RIVM_report_20200503,Niet vermeld,Ziekenhuisopname,0,1.0
2020-05-03,RIVM_report_20200503,0-4,Overleden,0,0.0
2020-05-03,RIVM_report_20200503,5-9,Overleden,0,0.0
2020-05-03,RIVM_report_20200503,10-14,Overleden,0,0.0
2020-05-03,RIVM_report_20200503,15-19,Overleden,0,1.0
2020-05-03,RIVM_report_20200503,20-24,Overleden,0,0.0
2020-05-03,RIVM_report_20200503,25-29,Overleden,0,3.0
2020-05-03,RIVM_report_20200503,30-34,Overleden,0,3.0
2020-05-03,RIVM_report_20200503,35-39,Overleden,0,6.0
2020-05-03,RIVM_report_20200503,40-44,Overleden,0,5.0
2020-05-03,RIVM_report_20200503,45-49,Overleden,0,17.0
2020-05-03,RIVM_report_20200503,50-54,Overleden,1,37.0
2020-05-03,RIVM_report_20200503,55-59,Overleden,0,81.0
2020-05-03,RIVM_report_20200503,60-64,Overleden,1,141.0
2020-05-03,RIVM_report_20200503,65-69,Overleden,2,288.0
2020-05-03,RIVM_report_20200503,70-74,Overleden,10,536.0
2020-05-03,RIVM_report_20200503,75-79,Overleden,7,880.0
2020-05-03,RIVM_report_20200503,80-84,Overleden,19,1083.0
2020-05-03,RIVM_report_20200503,85-89,Overleden,16,1109.0
2020-05-03,RIVM_report_20200503,90-94,Overleden,6,629.0
2020-05-03,RIVM_report_20200503,95+,Overleden,7,236.0
2020-05-03,RIVM_report_20200503,Niet vermeld,Overleden,0,1.0
