Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-05-07,RIVM_report_20200507,0-4,Totaal,5,76.0
2020-05-07,RIVM_report_20200507,5-9,Totaal,0,15.0
2020-05-07,RIVM_report_20200507,10-14,Totaal,1,52.0
2020-05-07,RIVM_report_20200507,15-19,Totaal,6,412.0
2020-05-07,RIVM_report_20200507,20-24,Totaal,21,1677.0
2020-05-07,RIVM_report_20200507,25-29,Totaal,30,2060.0
2020-05-07,RIVM_report_20200507,30-34,Totaal,28,1936.0
2020-05-07,RIVM_report_20200507,35-39,Totaal,26,1698.0
2020-05-07,RIVM_report_20200507,40-44,Totaal,28,1934.0
2020-05-07,RIVM_report_20200507,45-49,Totaal,36,2831.0
2020-05-07,RIVM_report_20200507,50-54,Totaal,38,3643.0
2020-05-07,RIVM_report_20200507,55-59,Totaal,52,4040.0
2020-05-07,RIVM_report_20200507,60-64,Totaal,44,3311.0
2020-05-07,RIVM_report_20200507,65-69,Totaal,9,2191.0
2020-05-07,RIVM_report_20200507,70-74,Totaal,13,2744.0
2020-05-07,RIVM_report_20200507,75-79,Totaal,18,3143.0
2020-05-07,RIVM_report_20200507,80-84,Totaal,26,3542.0
2020-05-07,RIVM_report_20200507,85-89,Totaal,43,3593.0
2020-05-07,RIVM_report_20200507,90-94,Totaal,23,2156.0
2020-05-07,RIVM_report_20200507,95+,Totaal,8,712.0
2020-05-07,RIVM_report_20200507,Niet vermeld,Totaal,0,8.0
2020-05-07,RIVM_report_20200507,0-4,Ziekenhuisopname,1,45.0
2020-05-07,RIVM_report_20200507,5-9,Ziekenhuisopname,0,2.0
2020-05-07,RIVM_report_20200507,10-14,Ziekenhuisopname,0,7.0
2020-05-07,RIVM_report_20200507,15-19,Ziekenhuisopname,1,28.0
2020-05-07,RIVM_report_20200507,20-24,Ziekenhuisopname,2,54.0
2020-05-07,RIVM_report_20200507,25-29,Ziekenhuisopname,2,104.0
2020-05-07,RIVM_report_20200507,30-34,Ziekenhuisopname,0,145.0
2020-05-07,RIVM_report_20200507,35-39,Ziekenhuisopname,0,184.0
2020-05-07,RIVM_report_20200507,40-44,Ziekenhuisopname,1,268.0
2020-05-07,RIVM_report_20200507,45-49,Ziekenhuisopname,6,545.0
2020-05-07,RIVM_report_20200507,50-54,Ziekenhuisopname,1,804.0
2020-05-07,RIVM_report_20200507,55-59,Ziekenhuisopname,6,1078.0
2020-05-07,RIVM_report_20200507,60-64,Ziekenhuisopname,3,1226.0
2020-05-07,RIVM_report_20200507,65-69,Ziekenhuisopname,3,1294.0
2020-05-07,RIVM_report_20200507,70-74,Ziekenhuisopname,1,1628.0
2020-05-07,RIVM_report_20200507,75-79,Ziekenhuisopname,2,1562.0
2020-05-07,RIVM_report_20200507,80-84,Ziekenhuisopname,3,1177.0
2020-05-07,RIVM_report_20200507,85-89,Ziekenhuisopname,5,772.0
2020-05-07,RIVM_report_20200507,90-94,Ziekenhuisopname,1,229.0
2020-05-07,RIVM_report_20200507,95+,Ziekenhuisopname,1,39.0
2020-05-07,RIVM_report_20200507,Niet vermeld,Ziekenhuisopname,0,1.0
2020-05-07,RIVM_report_20200507,0-4,Overleden,0,0.0
2020-05-07,RIVM_report_20200507,5-9,Overleden,0,0.0
2020-05-07,RIVM_report_20200507,10-14,Overleden,0,0.0
2020-05-07,RIVM_report_20200507,15-19,Overleden,0,1.0
2020-05-07,RIVM_report_20200507,20-24,Overleden,0,0.0
2020-05-07,RIVM_report_20200507,25-29,Overleden,0,3.0
2020-05-07,RIVM_report_20200507,30-34,Overleden,0,3.0
2020-05-07,RIVM_report_20200507,35-39,Overleden,0,6.0
2020-05-07,RIVM_report_20200507,40-44,Overleden,0,5.0
2020-05-07,RIVM_report_20200507,45-49,Overleden,2,19.0
2020-05-07,RIVM_report_20200507,50-54,Overleden,0,37.0
2020-05-07,RIVM_report_20200507,55-59,Overleden,1,84.0
2020-05-07,RIVM_report_20200507,60-64,Overleden,0,144.0
2020-05-07,RIVM_report_20200507,65-69,Overleden,3,298.0
2020-05-07,RIVM_report_20200507,70-74,Overleden,7,557.0
2020-05-07,RIVM_report_20200507,75-79,Overleden,16,918.0
2020-05-07,RIVM_report_20200507,80-84,Overleden,7,1117.0
2020-05-07,RIVM_report_20200507,85-89,Overleden,17,1161.0
2020-05-07,RIVM_report_20200507,90-94,Overleden,27,686.0
2020-05-07,RIVM_report_20200507,95+,Overleden,4,248.0
2020-05-07,RIVM_report_20200507,Niet vermeld,Overleden,0,1.0
