Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-08-18,RIVM_report_20200818,0-4,Totaal,,198.0
2020-08-18,RIVM_report_20200818,5-9,Totaal,,215.0
2020-08-18,RIVM_report_20200818,10-14,Totaal,,494.0
2020-08-18,RIVM_report_20200818,15-19,Totaal,,1925.0
2020-08-18,RIVM_report_20200818,20-24,Totaal,,4551.0
2020-08-18,RIVM_report_20200818,25-29,Totaal,,4616.0
2020-08-18,RIVM_report_20200818,30-34,Totaal,,3970.0
2020-08-18,RIVM_report_20200818,35-39,Totaal,,3273.0
2020-08-18,RIVM_report_20200818,40-44,Totaal,,3420.0
2020-08-18,RIVM_report_20200818,45-49,Totaal,,4467.0
2020-08-18,RIVM_report_20200818,50-54,Totaal,,5505.0
2020-08-18,RIVM_report_20200818,55-59,Totaal,,5650.0
2020-08-18,RIVM_report_20200818,60-64,Totaal,,4507.0
2020-08-18,RIVM_report_20200818,65-69,Totaal,,2818.0
2020-08-18,RIVM_report_20200818,70-74,Totaal,,3265.0
2020-08-18,RIVM_report_20200818,75-79,Totaal,,3606.0
2020-08-18,RIVM_report_20200818,80-84,Totaal,,4061.0
2020-08-18,RIVM_report_20200818,85-89,Totaal,,4106.0
2020-08-18,RIVM_report_20200818,90-94,Totaal,,2500.0
2020-08-18,RIVM_report_20200818,95+,Totaal,,822.0
2020-08-18,RIVM_report_20200818,Niet vermeld,Totaal,,4.0
2020-08-18,RIVM_report_20200818,0-4,Ziekenhuisopname,,53.0
2020-08-18,RIVM_report_20200818,5-9,Ziekenhuisopname,,3.0
2020-08-18,RIVM_report_20200818,10-14,Ziekenhuisopname,,8.0
2020-08-18,RIVM_report_20200818,15-19,Ziekenhuisopname,,33.0
2020-08-18,RIVM_report_20200818,20-24,Ziekenhuisopname,,64.0
2020-08-18,RIVM_report_20200818,25-29,Ziekenhuisopname,,121.0
2020-08-18,RIVM_report_20200818,30-34,Ziekenhuisopname,,169.0
2020-08-18,RIVM_report_20200818,35-39,Ziekenhuisopname,,206.0
2020-08-18,RIVM_report_20200818,40-44,Ziekenhuisopname,,297.0
2020-08-18,RIVM_report_20200818,45-49,Ziekenhuisopname,,602.0
2020-08-18,RIVM_report_20200818,50-54,Ziekenhuisopname,,877.0
2020-08-18,RIVM_report_20200818,55-59,Ziekenhuisopname,,1177.0
2020-08-18,RIVM_report_20200818,60-64,Ziekenhuisopname,,1323.0
2020-08-18,RIVM_report_20200818,65-69,Ziekenhuisopname,,1371.0
2020-08-18,RIVM_report_20200818,70-74,Ziekenhuisopname,,1720.0
2020-08-18,RIVM_report_20200818,75-79,Ziekenhuisopname,,1645.0
2020-08-18,RIVM_report_20200818,80-84,Ziekenhuisopname,,1259.0
2020-08-18,RIVM_report_20200818,85-89,Ziekenhuisopname,,811.0
2020-08-18,RIVM_report_20200818,90-94,Ziekenhuisopname,,257.0
2020-08-18,RIVM_report_20200818,95+,Ziekenhuisopname,,46.0
2020-08-18,RIVM_report_20200818,Niet vermeld,Ziekenhuisopname,,0.0
2020-08-18,RIVM_report_20200818,0-4,Overleden,,0.0
2020-08-18,RIVM_report_20200818,5-9,Overleden,,0.0
2020-08-18,RIVM_report_20200818,10-14,Overleden,,0.0
2020-08-18,RIVM_report_20200818,15-19,Overleden,,1.0
2020-08-18,RIVM_report_20200818,20-24,Overleden,,0.0
2020-08-18,RIVM_report_20200818,25-29,Overleden,,3.0
2020-08-18,RIVM_report_20200818,30-34,Overleden,,4.0
2020-08-18,RIVM_report_20200818,35-39,Overleden,,7.0
2020-08-18,RIVM_report_20200818,40-44,Overleden,,7.0
2020-08-18,RIVM_report_20200818,45-49,Overleden,,24.0
2020-08-18,RIVM_report_20200818,50-54,Overleden,,47.0
2020-08-18,RIVM_report_20200818,55-59,Overleden,,99.0
2020-08-18,RIVM_report_20200818,60-64,Overleden,,163.0
2020-08-18,RIVM_report_20200818,65-69,Overleden,,341.0
2020-08-18,RIVM_report_20200818,70-74,Overleden,,634.0
2020-08-18,RIVM_report_20200818,75-79,Overleden,,1015.0
2020-08-18,RIVM_report_20200818,80-84,Overleden,,1282.0
2020-08-18,RIVM_report_20200818,85-89,Overleden,,1392.0
2020-08-18,RIVM_report_20200818,90-94,Overleden,,845.0
2020-08-18,RIVM_report_20200818,95+,Overleden,,311.0
2020-08-18,RIVM_report_20200818,Niet vermeld,Overleden,,0.0
