Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-10-06,RIVM_report_20201006,0-4,Totaal,,350.0
2020-10-06,RIVM_report_20201006,5-9,Totaal,,623.0
2020-10-06,RIVM_report_20201006,10-14,Totaal,,2842.0
2020-10-06,RIVM_report_20201006,15-19,Totaal,,10299.0
2020-10-06,RIVM_report_20201006,20-24,Totaal,,17556.0
2020-10-06,RIVM_report_20201006,25-29,Totaal,,13969.0
2020-10-06,RIVM_report_20201006,30-34,Totaal,,10914.0
2020-10-06,RIVM_report_20201006,35-39,Totaal,,9018.0
2020-10-06,RIVM_report_20201006,40-44,Totaal,,8743.0
2020-10-06,RIVM_report_20201006,45-49,Totaal,,10641.0
2020-10-06,RIVM_report_20201006,50-54,Totaal,,12157.0
2020-10-06,RIVM_report_20201006,55-59,Totaal,,11184.0
2020-10-06,RIVM_report_20201006,60-64,Totaal,,8349.0
2020-10-06,RIVM_report_20201006,65-69,Totaal,,4971.0
2020-10-06,RIVM_report_20201006,70-74,Totaal,,4938.0
2020-10-06,RIVM_report_20201006,75-79,Totaal,,4730.0
2020-10-06,RIVM_report_20201006,80-84,Totaal,,5000.0
2020-10-06,RIVM_report_20201006,85-89,Totaal,,4837.0
2020-10-06,RIVM_report_20201006,90-94,Totaal,,2915.0
2020-10-06,RIVM_report_20201006,95+,Totaal,,953.0
2020-10-06,RIVM_report_20201006,Niet vermeld,Totaal,,10.0
2020-10-06,RIVM_report_20201006,0-4,Ziekenhuisopname,,78.0
2020-10-06,RIVM_report_20201006,5-9,Ziekenhuisopname,,4.0
2020-10-06,RIVM_report_20201006,10-14,Ziekenhuisopname,,9.0
2020-10-06,RIVM_report_20201006,15-19,Ziekenhuisopname,,38.0
2020-10-06,RIVM_report_20201006,20-24,Ziekenhuisopname,,77.0
2020-10-06,RIVM_report_20201006,25-29,Ziekenhuisopname,,143.0
2020-10-06,RIVM_report_20201006,30-34,Ziekenhuisopname,,195.0
2020-10-06,RIVM_report_20201006,35-39,Ziekenhuisopname,,236.0
2020-10-06,RIVM_report_20201006,40-44,Ziekenhuisopname,,344.0
2020-10-06,RIVM_report_20201006,45-49,Ziekenhuisopname,,658.0
2020-10-06,RIVM_report_20201006,50-54,Ziekenhuisopname,,950.0
2020-10-06,RIVM_report_20201006,55-59,Ziekenhuisopname,,1262.0
2020-10-06,RIVM_report_20201006,60-64,Ziekenhuisopname,,1423.0
2020-10-06,RIVM_report_20201006,65-69,Ziekenhuisopname,,1467.0
2020-10-06,RIVM_report_20201006,70-74,Ziekenhuisopname,,1845.0
2020-10-06,RIVM_report_20201006,75-79,Ziekenhuisopname,,1749.0
2020-10-06,RIVM_report_20201006,80-84,Ziekenhuisopname,,1363.0
2020-10-06,RIVM_report_20201006,85-89,Ziekenhuisopname,,853.0
2020-10-06,RIVM_report_20201006,90-94,Ziekenhuisopname,,270.0
2020-10-06,RIVM_report_20201006,95+,Ziekenhuisopname,,56.0
2020-10-06,RIVM_report_20201006,Niet vermeld,Ziekenhuisopname,,0.0
2020-10-06,RIVM_report_20201006,0-4,Overleden,,0.0
2020-10-06,RIVM_report_20201006,5-9,Overleden,,0.0
2020-10-06,RIVM_report_20201006,10-14,Overleden,,0.0
2020-10-06,RIVM_report_20201006,15-19,Overleden,,1.0
2020-10-06,RIVM_report_20201006,20-24,Overleden,,0.0
2020-10-06,RIVM_report_20201006,25-29,Overleden,,3.0
2020-10-06,RIVM_report_20201006,30-34,Overleden,,4.0
2020-10-06,RIVM_report_20201006,35-39,Overleden,,7.0
2020-10-06,RIVM_report_20201006,40-44,Overleden,,7.0
2020-10-06,RIVM_report_20201006,45-49,Overleden,,29.0
2020-10-06,RIVM_report_20201006,50-54,Overleden,,51.0
2020-10-06,RIVM_report_20201006,55-59,Overleden,,105.0
2020-10-06,RIVM_report_20201006,60-64,Overleden,,173.0
2020-10-06,RIVM_report_20201006,65-69,Overleden,,353.0
2020-10-06,RIVM_report_20201006,70-74,Overleden,,657.0
2020-10-06,RIVM_report_20201006,75-79,Overleden,,1049.0
2020-10-06,RIVM_report_20201006,80-84,Overleden,,1347.0
2020-10-06,RIVM_report_20201006,85-89,Overleden,,1459.0
2020-10-06,RIVM_report_20201006,90-94,Overleden,,906.0
2020-10-06,RIVM_report_20201006,95+,Overleden,,331.0
2020-10-06,RIVM_report_20201006,Niet vermeld,Overleden,,0.0
