Datum,Type,Aantal
2020-02-27,Totaal,3
2020-02-27,Ziekenhuisopname,1
2020-02-27,Overleden,0
2020-02-28,Totaal,4
2020-02-28,Ziekenhuisopname,0
2020-02-28,Overleden,0
2020-02-29,Totaal,12
2020-02-29,Ziekenhuisopname,2
2020-02-29,Overleden,0
2020-03-01,Totaal,13
2020-03-01,Ziekenhuisopname,1
2020-03-01,Overleden,0
2020-03-02,Totaal,47
2020-03-02,Ziekenhuisopname,3
2020-03-02,Overleden,0
2020-03-03,Totaal,40
2020-03-03,Ziekenhuisopname,6
2020-03-03,Overleden,0
2020-03-04,Totaal,41
2020-03-04,Ziekenhuisopname,4
2020-03-04,Overleden,0
2020-03-05,Totaal,41
2020-03-05,Ziekenhuisopname,6
2020-03-05,Overleden,0
2020-03-06,Totaal,32
2020-03-06,Ziekenhuisopname,6
2020-03-06,Overleden,1
2020-03-07,Totaal,45
2020-03-07,Ziekenhuisopname,13
2020-03-07,Overleden,1
2020-03-08,Totaal,72
2020-03-08,Ziekenhuisopname,14
2020-03-08,Overleden,2
2020-03-09,Totaal,76
2020-03-09,Ziekenhuisopname,17
2020-03-09,Overleden,1
2020-03-10,Totaal,137
2020-03-10,Ziekenhuisopname,19
2020-03-10,Overleden,1
2020-03-11,Totaal,169
2020-03-11,Ziekenhuisopname,43
2020-03-11,Overleden,2
2020-03-12,Totaal,184
2020-03-12,Ziekenhuisopname,43
2020-03-12,Overleden,3
2020-03-13,Totaal,219
2020-03-13,Ziekenhuisopname,64
2020-03-13,Overleden,6
2020-03-14,Totaal,221
2020-03-14,Ziekenhuisopname,65
2020-03-14,Overleden,10
2020-03-15,Totaal,233
2020-03-15,Ziekenhuisopname,78
2020-03-15,Overleden,14
2020-03-16,Totaal,272
2020-03-16,Ziekenhuisopname,122
2020-03-16,Overleden,23
2020-03-17,Totaal,375
2020-03-17,Ziekenhuisopname,144
2020-03-17,Overleden,22
2020-03-18,Totaal,459
2020-03-18,Ziekenhuisopname,174
2020-03-18,Overleden,20
2020-03-19,Totaal,515
2020-03-19,Ziekenhuisopname,241
2020-03-19,Overleden,43
2020-03-20,Totaal,700
2020-03-20,Ziekenhuisopname,306
2020-03-20,Overleden,55
2020-03-21,Totaal,668
2020-03-21,Ziekenhuisopname,328
2020-03-21,Overleden,62
2020-03-22,Totaal,542
2020-03-22,Ziekenhuisopname,291
2020-03-22,Overleden,60
2020-03-23,Totaal,622
2020-03-23,Ziekenhuisopname,321
2020-03-23,Overleden,86
2020-03-24,Totaal,1128
2020-03-24,Ziekenhuisopname,560
2020-03-24,Overleden,74
2020-03-25,Totaal,1054
2020-03-25,Ziekenhuisopname,500
2020-03-25,Overleden,110
2020-03-26,Totaal,1054
2020-03-26,Ziekenhuisopname,496
2020-03-26,Overleden,124
2020-03-27,Totaal,1194
2020-03-27,Ziekenhuisopname,542
2020-03-27,Overleden,106
2020-03-28,Totaal,991
2020-03-28,Ziekenhuisopname,487
2020-03-28,Overleden,148
2020-03-29,Totaal,746
2020-03-29,Ziekenhuisopname,396
2020-03-29,Overleden,119
2020-03-30,Totaal,806
2020-03-30,Ziekenhuisopname,349
2020-03-30,Overleden,149
2020-03-31,Totaal,1128
2020-03-31,Ziekenhuisopname,504
2020-03-31,Overleden,163
2020-04-01,Totaal,1044
2020-04-01,Ziekenhuisopname,349
2020-04-01,Overleden,153
2020-04-02,Totaal,1029
2020-04-02,Ziekenhuisopname,344
2020-04-02,Overleden,162
2020-04-03,Totaal,1228
2020-04-03,Ziekenhuisopname,346
2020-04-03,Overleden,154
2020-04-04,Totaal,1099
2020-04-04,Ziekenhuisopname,287
2020-04-04,Overleden,152
2020-04-05,Totaal,855
2020-04-05,Ziekenhuisopname,249
2020-04-05,Overleden,144
2020-04-06,Totaal,777
2020-04-06,Ziekenhuisopname,233
2020-04-06,Overleden,147
2020-04-07,Totaal,1084
2020-04-07,Ziekenhuisopname,258
2020-04-07,Overleden,137
2020-04-08,Totaal,1339
2020-04-08,Ziekenhuisopname,206
2020-04-08,Overleden,136
2020-04-09,Totaal,1307
2020-04-09,Ziekenhuisopname,194
2020-04-09,Overleden,98
2020-04-10,Totaal,1373
2020-04-10,Ziekenhuisopname,171
2020-04-10,Overleden,129
2020-04-11,Totaal,1033
2020-04-11,Ziekenhuisopname,135
2020-04-11,Overleden,124
2020-04-12,Totaal,815
2020-04-12,Ziekenhuisopname,99
2020-04-12,Overleden,121
2020-04-13,Totaal,739
2020-04-13,Ziekenhuisopname,119
2020-04-13,Overleden,101
2020-04-14,Totaal,713
2020-04-14,Ziekenhuisopname,108
2020-04-14,Overleden,102
2020-04-15,Totaal,866
2020-04-15,Ziekenhuisopname,64
2020-04-15,Overleden,35
2020-04-16,Totaal,70
2020-04-16,Ziekenhuisopname,1
2020-04-16,Overleden,4
