Datum,Type,Aantal
2020-02-27,Totaal,3
2020-02-27,Ziekenhuisopname,1
2020-02-27,Overleden,0
2020-02-28,Totaal,5
2020-02-28,Ziekenhuisopname,0
2020-02-28,Overleden,0
2020-02-29,Totaal,12
2020-02-29,Ziekenhuisopname,2
2020-02-29,Overleden,0
2020-03-01,Totaal,13
2020-03-01,Ziekenhuisopname,1
2020-03-01,Overleden,0
2020-03-02,Totaal,47
2020-03-02,Ziekenhuisopname,3
2020-03-02,Overleden,0
2020-03-03,Totaal,40
2020-03-03,Ziekenhuisopname,6
2020-03-03,Overleden,0
2020-03-04,Totaal,41
2020-03-04,Ziekenhuisopname,4
2020-03-04,Overleden,0
2020-03-05,Totaal,41
2020-03-05,Ziekenhuisopname,5
2020-03-05,Overleden,0
2020-03-06,Totaal,33
2020-03-06,Ziekenhuisopname,6
2020-03-06,Overleden,1
2020-03-07,Totaal,45
2020-03-07,Ziekenhuisopname,13
2020-03-07,Overleden,1
2020-03-08,Totaal,72
2020-03-08,Ziekenhuisopname,12
2020-03-08,Overleden,2
2020-03-09,Totaal,77
2020-03-09,Ziekenhuisopname,17
2020-03-09,Overleden,0
2020-03-10,Totaal,135
2020-03-10,Ziekenhuisopname,18
2020-03-10,Overleden,1
2020-03-11,Totaal,172
2020-03-11,Ziekenhuisopname,35
2020-03-11,Overleden,2
2020-03-12,Totaal,184
2020-03-12,Ziekenhuisopname,37
2020-03-12,Overleden,3
2020-03-13,Totaal,214
2020-03-13,Ziekenhuisopname,57
2020-03-13,Overleden,6
2020-03-14,Totaal,221
2020-03-14,Ziekenhuisopname,55
2020-03-14,Overleden,9
2020-03-15,Totaal,234
2020-03-15,Ziekenhuisopname,69
2020-03-15,Overleden,12
2020-03-16,Totaal,272
2020-03-16,Ziekenhuisopname,113
2020-03-16,Overleden,23
2020-03-17,Totaal,372
2020-03-17,Ziekenhuisopname,127
2020-03-17,Overleden,22
2020-03-18,Totaal,458
2020-03-18,Ziekenhuisopname,134
2020-03-18,Overleden,20
2020-03-19,Totaal,514
2020-03-19,Ziekenhuisopname,208
2020-03-19,Overleden,43
2020-03-20,Totaal,702
2020-03-20,Ziekenhuisopname,284
2020-03-20,Overleden,49
2020-03-21,Totaal,666
2020-03-21,Ziekenhuisopname,275
2020-03-21,Overleden,60
2020-03-22,Totaal,541
2020-03-22,Ziekenhuisopname,236
2020-03-22,Overleden,57
2020-03-23,Totaal,616
2020-03-23,Ziekenhuisopname,258
2020-03-23,Overleden,77
2020-03-24,Totaal,1129
2020-03-24,Ziekenhuisopname,394
2020-03-24,Overleden,64
2020-03-25,Totaal,1041
2020-03-25,Ziekenhuisopname,332
2020-03-25,Overleden,97
2020-03-26,Totaal,1033
2020-03-26,Ziekenhuisopname,308
2020-03-26,Overleden,96
2020-03-27,Totaal,1139
2020-03-27,Ziekenhuisopname,283
2020-03-27,Overleden,70
2020-03-28,Totaal,777
2020-03-28,Ziekenhuisopname,187
2020-03-28,Overleden,55
2020-03-29,Totaal,17
2020-03-29,Ziekenhuisopname,3
2020-03-29,Overleden,1
