"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";1;55
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;75
"25 mrt";0;111
"26 mrt";0;124
"27 mrt";0;111
"28 mrt";0;151
"29 mrt";0;121
"30 mrt";1;149
"31 mrt";0;171
"1 apr";0;159
"2 apr";1;168
"3 apr";0;158
"4 apr";0;165
"5 apr";1;152
"6 apr";0;159
"7 apr";0;146
"8 apr";0;146
"9 apr";0;110
"10 apr";0;145
"11 apr";0;137
"12 apr";0;139
"13 apr";0;127
"14 apr";0;129
"15 apr";0;116
"16 apr";0;125
"17 apr";0;115
"18 apr";0;113
"19 apr";0;106
"20 apr";2;86
"21 apr";2;115
"22 apr";1;105
"23 apr";1;92
"24 apr";2;79
"25 apr";5;56
"26 apr";10;51
"27 apr";10;54
"28 apr";23;22
"29 apr";22;1
"30 apr";2;0
