"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;8
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;14
"3 mrt";0;6
"4 mrt";0;13
"5 mrt";0;13
"6 mrt";0;20
"7 mrt";0;17
"8 mrt";0;25
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;54
"12 mrt";0;81
"13 mrt";0;87
"14 mrt";0;91
"15 mrt";0;101
"16 mrt";0;184
"17 mrt";0;179
"18 mrt";0;246
"19 mrt";0;350
"20 mrt";0;333
"21 mrt";0;280
"22 mrt";0;301
"23 mrt";0;558
"24 mrt";0;478
"25 mrt";0;513
"26 mrt";0;490
"27 mrt";0;611
"28 mrt";0;340
"29 mrt";0;301
"30 mrt";0;503
"31 mrt";0;341
"1 apr";0;363
"2 apr";0;351
"3 apr";0;335
"4 apr";0;198
"5 apr";0;216
"6 apr";0;313
"7 apr";0;192
"8 apr";0;190
"9 apr";0;187
"10 apr";0;171
"11 apr";0;132
"12 apr";0;126
"13 apr";0;135
"14 apr";0;159
"15 apr";0;106
"16 apr";0;101
"17 apr";0;122
"18 apr";0;71
"19 apr";0;60
"20 apr";0;90
"21 apr";0;71
"22 apr";0;71
"23 apr";0;77
"24 apr";0;44
"25 apr";0;44
"26 apr";0;31
"27 apr";0;38
"28 apr";0;60
"29 apr";1;39
"30 apr";0;35
"1 mei";0;29
"2 mei";0;16
"3 mei";0;33
"4 mei";0;32
"5 mei";0;15
"6 mei";0;36
"7 mei";0;27
"8 mei";0;27
"9 mei";0;16
"10 mei";0;13
"11 mei";0;22
"12 mei";0;10
"13 mei";1;19
"14 mei";0;11
"15 mei";0;10
"16 mei";0;8
"17 mei";0;7
"18 mei";0;11
"19 mei";0;8
"20 mei";0;9
"21 mei";0;7
"22 mei";0;9
"23 mei";0;4
"24 mei";0;3
"25 mei";0;13
"26 mei";0;6
"27 mei";0;5
"28 mei";0;3
"29 mei";0;7
"30 mei";0;8
"31 mei";0;6
"1 jun";0;5
"2 jun";0;9
"3 jun";0;0
"4 jun";0;5
"5 jun";0;5
"6 jun";0;2
"7 jun";0;0
"8 jun";3;0
"9 jun";0;0
"10 jun";0;0
