"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;8
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;14
"3 mrt";0;6
"4 mrt";0;13
"5 mrt";0;13
"6 mrt";0;20
"7 mrt";0;17
"8 mrt";0;25
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;54
"12 mrt";0;81
"13 mrt";0;87
"14 mrt";0;90
"15 mrt";0;101
"16 mrt";0;184
"17 mrt";0;179
"18 mrt";0;245
"19 mrt";0;350
"20 mrt";0;333
"21 mrt";0;279
"22 mrt";0;301
"23 mrt";0;558
"24 mrt";0;478
"25 mrt";0;513
"26 mrt";0;489
"27 mrt";0;611
"28 mrt";0;340
"29 mrt";0;300
"30 mrt";0;503
"31 mrt";0;341
"1 apr";0;362
"2 apr";0;351
"3 apr";0;334
"4 apr";0;197
"5 apr";0;215
"6 apr";0;313
"7 apr";0;191
"8 apr";0;190
"9 apr";0;186
"10 apr";0;170
"11 apr";0;131
"12 apr";0;126
"13 apr";0;135
"14 apr";1;158
"15 apr";0;106
"16 apr";0;101
"17 apr";0;121
"18 apr";0;71
"19 apr";0;59
"20 apr";0;90
"21 apr";0;70
"22 apr";1;69
"23 apr";0;78
"24 apr";0;42
"25 apr";0;45
"26 apr";0;30
"27 apr";0;38
"28 apr";0;60
"29 apr";0;38
"30 apr";0;34
"1 mei";0;29
"2 mei";0;15
"3 mei";0;33
"4 mei";0;29
"5 mei";0;14
"6 mei";0;36
"7 mei";0;26
"8 mei";0;25
"9 mei";1;15
"10 mei";0;12
"11 mei";1;20
"12 mei";2;7
"13 mei";0;18
"14 mei";0;11
"15 mei";0;10
"16 mei";0;8
"17 mei";1;5
"18 mei";2;3
"19 mei";0;1
"20 mei";2;0
"21 mei";0;0
