"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;7
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;14
"3 mrt";0;6
"4 mrt";0;13
"5 mrt";0;13
"6 mrt";0;21
"7 mrt";0;17
"8 mrt";0;25
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;54
"12 mrt";0;81
"13 mrt";0;87
"14 mrt";0;89
"15 mrt";0;101
"16 mrt";0;184
"17 mrt";0;179
"18 mrt";0;245
"19 mrt";1;349
"20 mrt";0;333
"21 mrt";0;278
"22 mrt";0;301
"23 mrt";0;558
"24 mrt";1;477
"25 mrt";1;512
"26 mrt";0;489
"27 mrt";1;610
"28 mrt";1;338
"29 mrt";0;300
"30 mrt";0;501
"31 mrt";0;341
"1 apr";4;358
"2 apr";3;345
"3 apr";0;334
"4 apr";0;195
"5 apr";0;214
"6 apr";1;310
"7 apr";0;191
"8 apr";0;191
"9 apr";0;186
"10 apr";0;170
"11 apr";0;131
"12 apr";0;126
"13 apr";0;135
"14 apr";0;158
"15 apr";0;105
"16 apr";0;101
"17 apr";0;121
"18 apr";0;71
"19 apr";0;59
"20 apr";0;90
"21 apr";0;70
"22 apr";0;69
"23 apr";0;79
"24 apr";0;42
"25 apr";0;45
"26 apr";0;29
"27 apr";0;38
"28 apr";0;60
"29 apr";1;37
"30 apr";0;34
"1 mei";0;29
"2 mei";0;15
"3 mei";0;33
"4 mei";0;29
"5 mei";0;13
"6 mei";2;33
"7 mei";0;26
"8 mei";0;25
"9 mei";0;12
"10 mei";0;11
"11 mei";0;20
"12 mei";0;7
"13 mei";1;15
"14 mei";1;7
"15 mei";2;3
"16 mei";4;0
"17 mei";0;0
"18 mei";0;0
