"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;62
"22 mrt";1;60
"23 mrt";0;86
"24 mrt";0;77
"25 mrt";0;113
"26 mrt";0;126
"27 mrt";0;112
"28 mrt";0;153
"29 mrt";0;121
"30 mrt";0;151
"31 mrt";0;174
"1 apr";0;161
"2 apr";0;172
"3 apr";2;169
"4 apr";0;167
"5 apr";0;157
"6 apr";1;164
"7 apr";0;148
"8 apr";0;148
"9 apr";0;116
"10 apr";2;148
"11 apr";0;139
"12 apr";0;143
"13 apr";0;130
"14 apr";0;129
"15 apr";0;118
"16 apr";3;127
"17 apr";0;122
"18 apr";0;117
"19 apr";2;111
"20 apr";0;93
"21 apr";0;123
"22 apr";1;112
"23 apr";2;100
"24 apr";1;89
"25 apr";1;76
"26 apr";1;71
"27 apr";1;70
"28 apr";1;67
"29 apr";0;53
"30 apr";2;60
"1 mei";4;43
"2 mei";7;42
"3 mei";4;32
"4 mei";14;32
"5 mei";12;6
"6 mei";21;1
"7 mei";0;0
