"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;2
"28 feb";0;7
"29 feb";0;1
"1 mrt";0;9
"2 mrt";0;15
"3 mrt";0;6
"4 mrt";0;15
"5 mrt";1;13
"6 mrt";0;22
"7 mrt";0;17
"8 mrt";0;23
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;53
"12 mrt";1;77
"13 mrt";0;87
"14 mrt";0;87
"15 mrt";0;98
"16 mrt";0;182
"17 mrt";1;176
"18 mrt";0;244
"19 mrt";0;346
"20 mrt";0;334
"21 mrt";0;276
"22 mrt";1;299
"23 mrt";1;553
"24 mrt";2;473
"25 mrt";2;507
"26 mrt";0;488
"27 mrt";5;601
"28 mrt";4;329
"29 mrt";1;287
"30 mrt";0;483
"31 mrt";2;329
"1 apr";3;343
"2 apr";2;333
"3 apr";3;325
"4 apr";1;190
"5 apr";1;208
"6 apr";4;305
"7 apr";1;186
"8 apr";2;186
"9 apr";0;182
"10 apr";1;167
"11 apr";0;128
"12 apr";2;122
"13 apr";1;134
"14 apr";0;157
"15 apr";1;102
"16 apr";0;99
"17 apr";0;118
"18 apr";1;70
"19 apr";1;57
"20 apr";0;89
"21 apr";0;70
"22 apr";0;68
"23 apr";0;77
"24 apr";0;42
"25 apr";0;45
"26 apr";0;29
"27 apr";0;37
"28 apr";2;54
"29 apr";0;34
"30 apr";0;30
"1 mei";0;27
"2 mei";0;11
"3 mei";3;17
"4 mei";4;21
"5 mei";4;4
"6 mei";9;0
"7 mei";0;0
"8 mei";0;0
