"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;77
"25 mrt";1;112
"26 mrt";0;126
"27 mrt";0;112
"28 mrt";0;153
"29 mrt";0;121
"30 mrt";0;151
"31 mrt";0;174
"1 apr";1;160
"2 apr";1;171
"3 apr";4;162
"4 apr";0;166
"5 apr";2;154
"6 apr";2;162
"7 apr";0;148
"8 apr";2;146
"9 apr";0;113
"10 apr";1;147
"11 apr";0;138
"12 apr";2;141
"13 apr";0;129
"14 apr";1;128
"15 apr";0;119
"16 apr";1;126
"17 apr";3;117
"18 apr";1;115
"19 apr";2;108
"20 apr";2;90
"21 apr";0;121
"22 apr";2;110
"23 apr";4;95
"24 apr";1;87
"25 apr";1;68
"26 apr";1;69
"27 apr";3;66
"28 apr";2;62
"29 apr";6;46
"30 apr";3;54
"1 mei";14;17
"2 mei";6;3
"3 mei";0;0
