"Datum van overlijden";"nieuw";"t/m afgelopen week"
"27 aug 2020";0;0
"28 aug 2020";0;5
"29 aug 2020";0;2
"30 aug 2020";0;5
"31 aug 2020";0;3
"1 sep 2020";0;4
"2 sep 2020";0;1
"3 sep 2020";1;1
"4 sep 2020";0;4
"5 sep 2020";0;2
"6 sep 2020";0;2
"7 sep 2020";0;1
"8 sep 2020";0;2
"9 sep 2020";0;2
"10 sep 2020";0;3
"11 sep 2020";0;4
"12 sep 2020";0;7
"13 sep 2020";0;1
"14 sep 2020";0;0
"15 sep 2020";0;1
"16 sep 2020";0;6
"17 sep 2020";0;9
"18 sep 2020";0;6
"19 sep 2020";0;9
"20 sep 2020";0;6
"21 sep 2020";0;11
"22 sep 2020";0;15
"23 sep 2020";0;5
"24 sep 2020";0;15
"25 sep 2020";0;18
"26 sep 2020";0;14
"27 sep 2020";0;13
"28 sep 2020";0;14
"29 sep 2020";0;16
"30 sep 2020";0;24
"1 okt 2020";0;19
"2 okt 2020";0;11
"3 okt 2020";0;23
"4 okt 2020";0;21
"5 okt 2020";0;30
"6 okt 2020";0;26
"7 okt 2020";0;17
"8 okt 2020";0;18
"9 okt 2020";0;25
"10 okt 2020";0;26
"11 okt 2020";0;30
"12 okt 2020";0;33
"13 okt 2020";0;29
"14 okt 2020";0;33
"15 okt 2020";0;37
"16 okt 2020";0;33
"17 okt 2020";0;46
"18 okt 2020";0;56
"19 okt 2020";0;46
"20 okt 2020";0;50
"21 okt 2020";0;51
"22 okt 2020";0;61
"23 okt 2020";0;62
"24 okt 2020";0;48
"25 okt 2020";0;49
"26 okt 2020";0;65
"27 okt 2020";0;68
"28 okt 2020";3;74
"29 okt 2020";4;60
"30 okt 2020";5;75
"31 okt 2020";0;74
"1 nov 2020";0;81
"2 nov 2020";0;81
"3 nov 2020";0;74
"4 nov 2020";0;85
"5 nov 2020";1;68
"6 nov 2020";0;87
"7 nov 2020";0;75
"8 nov 2020";0;83
"9 nov 2020";0;68
"10 nov 2020";0;86
"11 nov 2020";0;68
"12 nov 2020";0;55
"13 nov 2020";0;56
"14 nov 2020";1;61
"15 nov 2020";1;59
"16 nov 2020";0;54
"17 nov 2020";1;62
"18 nov 2020";0;55
"19 nov 2020";0;44
"20 nov 2020";0;56
"21 nov 2020";0;48
"22 nov 2020";1;45
"23 nov 2020";0;45
"24 nov 2020";2;58
"25 nov 2020";0;55
"26 nov 2020";1;53
"27 nov 2020";1;48
"28 nov 2020";0;38
"29 nov 2020";0;48
"30 nov 2020";0;52
"1 dec 2020";0;53
"2 dec 2020";0;52
"3 dec 2020";1;24
"4 dec 2020";1;42
"5 dec 2020";3;40
"6 dec 2020";0;45
"7 dec 2020";0;46
"8 dec 2020";0;57
"9 dec 2020";0;45
"10 dec 2020";1;58
"11 dec 2020";0;57
"12 dec 2020";0;61
"13 dec 2020";1;56
"14 dec 2020";1;81
"15 dec 2020";2;77
"16 dec 2020";0;61
"17 dec 2020";3;63
"18 dec 2020";0;62
"19 dec 2020";3;76
"20 dec 2020";0;76
"21 dec 2020";4;78
"22 dec 2020";1;86
"23 dec 2020";1;79
"24 dec 2020";2;91
"25 dec 2020";3;84
"26 dec 2020";1;87
"27 dec 2020";1;96
"28 dec 2020";4;109
"29 dec 2020";3;100
"30 dec 2020";1;71
"31 dec 2020";1;94
"1 jan 2021";4;70
"2 jan 2021";4;80
"3 jan 2021";6;91
"4 jan 2021";8;109
"5 jan 2021";9;69
"6 jan 2021";6;75
"7 jan 2021";7;73
"8 jan 2021";24;69
"9 jan 2021";20;67
"10 jan 2021";23;47
"11 jan 2021";41;28
"12 jan 2021";82;0
"13 jan 2021";70;0
"14 jan 2021";68;0
"15 jan 2021";64;0
"16 jan 2021";55;0
"17 jan 2021";38;0
"18 jan 2021";18;0
"19 jan 2021";0;0
