"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;77
"25 mrt";0;113
"26 mrt";0;126
"27 mrt";0;112
"28 mrt";0;153
"29 mrt";0;121
"30 mrt";0;151
"31 mrt";0;174
"1 apr";0;161
"2 apr";0;172
"3 apr";1;168
"4 apr";0;167
"5 apr";0;157
"6 apr";0;164
"7 apr";0;148
"8 apr";0;148
"9 apr";0;116
"10 apr";0;148
"11 apr";0;139
"12 apr";0;143
"13 apr";0;130
"14 apr";0;129
"15 apr";0;118
"16 apr";0;127
"17 apr";1;121
"18 apr";1;116
"19 apr";1;110
"20 apr";1;92
"21 apr";1;122
"22 apr";0;112
"23 apr";0;100
"24 apr";1;88
"25 apr";0;76
"26 apr";0;71
"27 apr";0;70
"28 apr";0;67
"29 apr";0;53
"30 apr";1;59
"1 mei";2;41
"2 mei";5;37
"3 mei";6;26
"4 mei";9;23
"5 mei";6;0
"6 mei";1;0
