"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;62
"22 mrt";0;61
"23 mrt";0;86
"24 mrt";0;77
"25 mrt";0;113
"26 mrt";0;126
"27 mrt";0;112
"28 mrt";0;153
"29 mrt";0;121
"30 mrt";0;151
"31 mrt";1;174
"1 apr";0;161
"2 apr";0;172
"3 apr";0;171
"4 apr";0;167
"5 apr";0;157
"6 apr";0;165
"7 apr";0;148
"8 apr";0;148
"9 apr";0;116
"10 apr";2;151
"11 apr";1;139
"12 apr";0;143
"13 apr";1;130
"14 apr";1;129
"15 apr";0;118
"16 apr";2;130
"17 apr";2;122
"18 apr";0;117
"19 apr";0;112
"20 apr";0;93
"21 apr";0;123
"22 apr";1;113
"23 apr";1;102
"24 apr";0;90
"25 apr";2;77
"26 apr";3;72
"27 apr";0;71
"28 apr";0;68
"29 apr";2;53
"30 apr";2;62
"1 mei";2;47
"2 mei";1;49
"3 mei";1;36
"4 mei";6;46
"5 mei";8;18
"6 mei";18;22
"7 mei";10;0
"8 mei";0;0
