"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;2
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;55
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;75
"25 mrt";0;111
"26 mrt";0;124
"27 mrt";1;110
"28 mrt";0;151
"29 mrt";0;121
"30 mrt";0;149
"31 mrt";1;170
"1 apr";0;158
"2 apr";1;167
"3 apr";2;156
"4 apr";0;165
"5 apr";0;152
"6 apr";0;159
"7 apr";1;145
"8 apr";0;146
"9 apr";0;110
"10 apr";1;144
"11 apr";0;137
"12 apr";2;137
"13 apr";0;127
"14 apr";0;129
"15 apr";1;115
"16 apr";2;123
"17 apr";0;115
"18 apr";0;113
"19 apr";0;106
"20 apr";3;83
"21 apr";3;112
"22 apr";0;105
"23 apr";7;85
"24 apr";16;62
"25 apr";18;38
"26 apr";27;24
"27 apr";35;18
"28 apr";22;1
"29 apr";1;0
