"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;7
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;15
"3 mrt";0;7
"4 mrt";0;15
"5 mrt";0;14
"6 mrt";0;22
"7 mrt";0;17
"8 mrt";0;24
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;53
"12 mrt";0;79
"13 mrt";0;88
"14 mrt";1;87
"15 mrt";0;98
"16 mrt";0;183
"17 mrt";0;177
"18 mrt";0;244
"19 mrt";0;345
"20 mrt";0;335
"21 mrt";0;277
"22 mrt";1;300
"23 mrt";0;555
"24 mrt";2;475
"25 mrt";0;510
"26 mrt";0;488
"27 mrt";2;607
"28 mrt";2;335
"29 mrt";1;294
"30 mrt";0;486
"31 mrt";0;332
"1 apr";1;348
"2 apr";0;337
"3 apr";0;328
"4 apr";1;191
"5 apr";0;211
"6 apr";0;309
"7 apr";0;187
"8 apr";0;188
"9 apr";0;183
"10 apr";0;168
"11 apr";0;128
"12 apr";0;124
"13 apr";0;135
"14 apr";0;157
"15 apr";0;103
"16 apr";0;100
"17 apr";0;119
"18 apr";0;71
"19 apr";0;58
"20 apr";0;89
"21 apr";0;70
"22 apr";0;68
"23 apr";0;77
"24 apr";0;42
"25 apr";0;45
"26 apr";0;29
"27 apr";0;38
"28 apr";1;58
"29 apr";1;35
"30 apr";1;32
"1 mei";0;29
"2 mei";0;13
"3 mei";1;27
"4 mei";2;27
"5 mei";2;9
"6 mei";2;24
"7 mei";5;16
"8 mei";7;3
"9 mei";2;0
"10 mei";0;0
"11 mei";0;0
