"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;7
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;15
"3 mrt";0;6
"4 mrt";0;14
"5 mrt";0;14
"6 mrt";0;21
"7 mrt";0;17
"8 mrt";1;24
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;54
"12 mrt";0;81
"13 mrt";0;88
"14 mrt";0;88
"15 mrt";1;98
"16 mrt";1;183
"17 mrt";0;177
"18 mrt";1;244
"19 mrt";4;345
"20 mrt";0;335
"21 mrt";1;277
"22 mrt";0;301
"23 mrt";2;556
"24 mrt";0;478
"25 mrt";1;510
"26 mrt";0;488
"27 mrt";0;609
"28 mrt";2;336
"29 mrt";1;296
"30 mrt";2;488
"31 mrt";0;332
"1 apr";0;349
"2 apr";1;337
"3 apr";1;330
"4 apr";1;192
"5 apr";0;211
"6 apr";1;309
"7 apr";1;188
"8 apr";2;188
"9 apr";2;183
"10 apr";2;168
"11 apr";0;128
"12 apr";2;124
"13 apr";1;134
"14 apr";0;157
"15 apr";1;103
"16 apr";0;100
"17 apr";0;119
"18 apr";0;71
"19 apr";1;58
"20 apr";1;89
"21 apr";0;70
"22 apr";0;68
"23 apr";0;79
"24 apr";0;42
"25 apr";0;45
"26 apr";0;29
"27 apr";0;38
"28 apr";0;59
"29 apr";1;36
"30 apr";0;33
"1 mei";0;29
"2 mei";0;13
"3 mei";2;28
"4 mei";0;29
"5 mei";0;12
"6 mei";2;29
"7 mei";1;24
"8 mei";2;21
"9 mei";0;10
"10 mei";6;2
"11 mei";4;1
"12 mei";1;0
"13 mei";0;0
