"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;2
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;55
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";1;74
"25 mrt";1;110
"26 mrt";0;124
"27 mrt";0;110
"28 mrt";0;151
"29 mrt";1;120
"30 mrt";0;149
"31 mrt";1;169
"1 apr";0;158
"2 apr";0;167
"3 apr";0;156
"4 apr";0;165
"5 apr";0;152
"6 apr";2;157
"7 apr";1;144
"8 apr";0;146
"9 apr";1;109
"10 apr";0;143
"11 apr";1;136
"12 apr";0;137
"13 apr";1;126
"14 apr";0;129
"15 apr";0;115
"16 apr";0;123
"17 apr";0;115
"18 apr";0;113
"19 apr";0;106
"20 apr";0;82
"21 apr";1;111
"22 apr";1;104
"23 apr";3;83
"24 apr";3;59
"25 apr";4;34
"26 apr";12;12
"27 apr";14;4
"28 apr";1;0
