"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;2
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;55
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;74
"25 mrt";0;110
"26 mrt";0;124
"27 mrt";0;110
"28 mrt";0;151
"29 mrt";0;120
"30 mrt";0;149
"31 mrt";0;168
"1 apr";0;158
"2 apr";0;166
"3 apr";0;156
"4 apr";0;164
"5 apr";0;152
"6 apr";1;156
"7 apr";0;144
"8 apr";0;144
"9 apr";0;110
"10 apr";1;142
"11 apr";1;135
"12 apr";0;136
"13 apr";0;126
"14 apr";2;127
"15 apr";1;114
"16 apr";1;122
"17 apr";1;114
"18 apr";2;111
"19 apr";2;103
"20 apr";0;82
"21 apr";5;106
"22 apr";3;101
"23 apr";6;77
"24 apr";20;32
"25 apr";19;0
"26 apr";1;1
