"Datum van overlijden";"nieuw";"tot en met gisteren"
"2020-02-27";0;0
"2020-02-28";0;0
"2020-02-29";0;0
"2020-03-01";0;0
"2020-03-02";0;0
"2020-03-03";0;0
"2020-03-04";0;0
"2020-03-05";0;0
"2020-03-06";0;1
"2020-03-07";0;1
"2020-03-08";0;2
"2020-03-09";0;0
"2020-03-10";0;1
"2020-03-11";0;2
"2020-03-12";0;3
"2020-03-13";0;6
"2020-03-14";0;10
"2020-03-15";1;12
"2020-03-16";0;23
"2020-03-17";0;23
"2020-03-18";0;20
"2020-03-19";0;43
"2020-03-20";0;55
"2020-03-21";0;59
"2020-03-22";1;59
"2020-03-23";1;83
"2020-03-24";1;73
"2020-03-25";1;104
"2020-03-26";0;118
"2020-03-27";2;103
"2020-03-28";1;145
"2020-03-29";1;114
"2020-03-30";1;143
"2020-03-31";2;149
"2020-04-01";5;142
"2020-04-02";7;147
"2020-04-03";23;111
"2020-04-04";45;72
"2020-04-05";76;38
"2020-04-06";59;3
"2020-04-07";5;0
"Niet vermeld";3;1
