"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;7
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;15
"3 mrt";0;6
"4 mrt";0;13
"5 mrt";0;13
"6 mrt";0;21
"7 mrt";0;17
"8 mrt";0;25
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;54
"12 mrt";0;80
"13 mrt";0;88
"14 mrt";0;89
"15 mrt";1;100
"16 mrt";0;184
"17 mrt";0;178
"18 mrt";0;245
"19 mrt";0;349
"20 mrt";0;333
"21 mrt";0;278
"22 mrt";0;301
"23 mrt";0;558
"24 mrt";0;478
"25 mrt";1;511
"26 mrt";1;488
"27 mrt";0;610
"28 mrt";0;338
"29 mrt";2;297
"30 mrt";3;498
"31 mrt";1;336
"1 apr";2;349
"2 apr";2;340
"3 apr";1;331
"4 apr";0;193
"5 apr";0;211
"6 apr";0;310
"7 apr";0;190
"8 apr";0;190
"9 apr";1;185
"10 apr";1;170
"11 apr";0;130
"12 apr";0;126
"13 apr";0;135
"14 apr";0;158
"15 apr";0;104
"16 apr";0;100
"17 apr";0;120
"18 apr";0;71
"19 apr";0;59
"20 apr";0;90
"21 apr";0;70
"22 apr";1;68
"23 apr";0;79
"24 apr";0;42
"25 apr";0;45
"26 apr";0;29
"27 apr";0;38
"28 apr";0;59
"29 apr";0;37
"30 apr";0;34
"1 mei";0;29
"2 mei";1;13
"3 mei";0;31
"4 mei";0;29
"5 mei";1;12
"6 mei";1;32
"7 mei";0;25
"8 mei";1;24
"9 mei";1;10
"10 mei";2;9
"11 mei";2;12
"12 mei";3;4
"13 mei";3;0
"14 mei";0;0
"15 mei";0;0
