"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";1;76
"25 mrt";0;112
"26 mrt";1;125
"27 mrt";1;111
"28 mrt";0;153
"29 mrt";0;121
"30 mrt";0;151
"31 mrt";1;173
"1 apr";0;160
"2 apr";0;171
"3 apr";1;161
"4 apr";0;166
"5 apr";1;153
"6 apr";1;161
"7 apr";0;148
"8 apr";0;146
"9 apr";1;112
"10 apr";0;147
"11 apr";0;138
"12 apr";2;139
"13 apr";0;129
"14 apr";0;127
"15 apr";0;119
"16 apr";0;126
"17 apr";0;117
"18 apr";0;115
"19 apr";1;107
"20 apr";0;90
"21 apr";1;120
"22 apr";2;108
"23 apr";1;94
"24 apr";3;84
"25 apr";7;61
"26 apr";8;61
"27 apr";0;66
"28 apr";7;56
"29 apr";9;37
"30 apr";24;30
"1 mei";17;0
"2 mei";3;0
