"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;1
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;43
"20 mrt";0;55
"21 mrt";0;62
"22 mrt";0;60
"23 mrt";0;86
"24 mrt";0;74
"25 mrt";0;110
"26 mrt";0;124
"27 mrt";0;109
"28 mrt";0;150
"29 mrt";0;119
"30 mrt";0;150
"31 mrt";1;165
"1 apr";0;157
"2 apr";0;167
"3 apr";0;156
"4 apr";0;160
"5 apr";0;148
"6 apr";1;153
"7 apr";1;142
"8 apr";0;140
"9 apr";1;106
"10 apr";1;137
"11 apr";1;133
"12 apr";2;130
"13 apr";4;121
"14 apr";1;123
"15 apr";3;105
"16 apr";9;111
"17 apr";11;99
"18 apr";13;90
"19 apr";17;71
"20 apr";31;33
"21 apr";41;2
"22 apr";2;0
