"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;7
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;15
"3 mrt";0;6
"4 mrt";0;13
"5 mrt";0;14
"6 mrt";0;21
"7 mrt";0;17
"8 mrt";0;25
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;54
"12 mrt";0;80
"13 mrt";0;88
"14 mrt";1;88
"15 mrt";1;99
"16 mrt";0;184
"17 mrt";1;177
"18 mrt";0;245
"19 mrt";0;349
"20 mrt";0;332
"21 mrt";0;278
"22 mrt";0;301
"23 mrt";0;558
"24 mrt";0;478
"25 mrt";0;511
"26 mrt";0;488
"27 mrt";1;609
"28 mrt";0;338
"29 mrt";0;297
"30 mrt";5;490
"31 mrt";3;333
"1 apr";0;349
"2 apr";0;339
"3 apr";0;331
"4 apr";0;193
"5 apr";1;210
"6 apr";0;310
"7 apr";1;189
"8 apr";0;190
"9 apr";0;185
"10 apr";1;169
"11 apr";1;129
"12 apr";0;126
"13 apr";0;135
"14 apr";1;157
"15 apr";0;104
"16 apr";0;100
"17 apr";0;120
"18 apr";0;71
"19 apr";0;59
"20 apr";0;90
"21 apr";0;70
"22 apr";0;68
"23 apr";0;79
"24 apr";0;42
"25 apr";0;45
"26 apr";0;29
"27 apr";0;38
"28 apr";0;59
"29 apr";0;37
"30 apr";0;33
"1 mei";0;29
"2 mei";0;13
"3 mei";0;30
"4 mei";0;29
"5 mei";0;12
"6 mei";1;31
"7 mei";0;25
"8 mei";1;23
"9 mei";0;10
"10 mei";1;8
"11 mei";7;5
"12 mei";3;1
"13 mei";0;0
"14 mei";0;0
