Datum;Aantal
20/2/2020;3
21/2/2020;20
22/2/2020;62
23/2/2020;155
24/2/2020;229
25/2/2020;322
26/2/2020;453
27/2/2020;655
28/2/2020;888
29/2/2020;1128
1/3/2020;1694
2/3/2020;2036
3/3/2020;2502
4/3/2020;3089
5/3/2020;3858
6/3/2020;4636
7/3/2020;5883
8/3/2020;7375
9/3/2020;9172
10/3/2020;10149
11/3/2020;12462
12/3/2020;15113
13/3/2020;17660
14/3/2020;21157
