Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2021-01-26,0-4,Man,0,1
2021-01-26,10-14,Man,0,0
2021-01-26,15-19,Man,0,2
2021-01-26,20-24,Man,0,2
2021-01-26,25-29,Man,0,4
2021-01-26,30-34,Man,0,4
2021-01-26,35-39,Man,1,11
2021-01-26,40-44,Man,0,14
2021-01-26,45-49,Man,0,29
2021-01-26,5-9,Man,0,0
2021-01-26,50-54,Man,-1,60
2021-01-26,55-59,Man,1,115
2021-01-26,60-64,Man,3,200
2021-01-26,65-69,Man,9,394
2021-01-26,70-74,Man,34,816
2021-01-26,75-79,Man,41,1336
2021-01-26,80-84,Man,51,1658
2021-01-26,85-89,Man,66,1689
2021-01-26,90-94,Man,44,851
2021-01-26,95+,Man,7,210
2021-01-26,0-4,Vrouw,0,0
2021-01-26,10-14,Vrouw,0,0
2021-01-26,15-19,Vrouw,0,0
2021-01-26,20-24,Vrouw,0,0
2021-01-26,25-29,Vrouw,1,1
2021-01-26,30-34,Vrouw,0,2
2021-01-26,35-39,Vrouw,0,5
2021-01-26,40-44,Vrouw,0,2
2021-01-26,45-49,Vrouw,0,22
2021-01-26,5-9,Vrouw,0,0
2021-01-26,50-54,Vrouw,1,40
2021-01-26,55-59,Vrouw,0,53
2021-01-26,60-64,Vrouw,5,107
2021-01-26,65-69,Vrouw,8,219
2021-01-26,70-74,Vrouw,13,466
2021-01-26,75-79,Vrouw,34,738
2021-01-26,80-84,Vrouw,41,1205
2021-01-26,85-89,Vrouw,63,1559
2021-01-26,90-94,Vrouw,59,1267
2021-01-26,95+,Vrouw,22,583
