Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2021-01-05,0-4,Man,1,1
2021-01-05,10-14,Man,0,0
2021-01-05,15-19,Man,0,2
2021-01-05,20-24,Man,0,1
2021-01-05,25-29,Man,0,4
2021-01-05,30-34,Man,0,4
2021-01-05,35-39,Man,0,10
2021-01-05,40-44,Man,0,12
2021-01-05,45-49,Man,2,28
2021-01-05,5-9,Man,0,0
2021-01-05,50-54,Man,3,59
2021-01-05,55-59,Man,3,105
2021-01-05,60-64,Man,8,184
2021-01-05,65-69,Man,12,362
2021-01-05,70-74,Man,25,706
2021-01-05,75-79,Man,64,1188
2021-01-05,80-84,Man,63,1439
2021-01-05,85-89,Man,77,1455
2021-01-05,90-94,Man,46,714
2021-01-05,95+,Man,12,183
2021-01-05,0-4,Vrouw,0,0
2021-01-05,10-14,Vrouw,0,0
2021-01-05,15-19,Vrouw,0,0
2021-01-05,20-24,Vrouw,0,0
2021-01-05,25-29,Vrouw,0,0
2021-01-05,30-34,Vrouw,0,2
2021-01-05,35-39,Vrouw,0,5
2021-01-05,40-44,Vrouw,0,1
2021-01-05,45-49,Vrouw,1,22
2021-01-05,5-9,Vrouw,0,0
2021-01-05,50-54,Vrouw,1,37
2021-01-05,55-59,Vrouw,3,48
2021-01-05,60-64,Vrouw,4,96
2021-01-05,65-69,Vrouw,12,194
2021-01-05,70-74,Vrouw,18,400
2021-01-05,75-79,Vrouw,31,639
2021-01-05,80-84,Vrouw,48,1036
2021-01-05,85-89,Vrouw,84,1324
2021-01-05,90-94,Vrouw,70,1066
2021-01-05,95+,Vrouw,26,499
