Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-29,0-4,Man,0,0
2020-05-29,10-14,Man,0,0
2020-05-29,15-19,Man,0,1
2020-05-29,20-24,Man,0,0
2020-05-29,25-29,Man,0,3
2020-05-29,30-34,Man,0,2
2020-05-29,35-39,Man,0,5
2020-05-29,40-44,Man,0,5
2020-05-29,45-49,Man,0,9
2020-05-29,5-9,Man,0,0
2020-05-29,50-54,Man,0,26
2020-05-29,55-59,Man,0,73
2020-05-29,60-64,Man,0,109
2020-05-29,65-69,Man,1,214
2020-05-29,70-74,Man,1,377
2020-05-29,75-79,Man,1,648
2020-05-29,80-84,Man,4,727
2020-05-29,85-89,Man,5,693
2020-05-29,90-94,Man,2,308
2020-05-29,95+,Man,0,73
2020-05-29,0-4,Vrouw,0,0
2020-05-29,10-14,Vrouw,0,0
2020-05-29,15-19,Vrouw,0,0
2020-05-29,20-24,Vrouw,0,0
2020-05-29,25-29,Vrouw,0,0
2020-05-29,30-34,Vrouw,0,1
2020-05-29,35-39,Vrouw,0,2
2020-05-29,40-44,Vrouw,0,0
2020-05-29,45-49,Vrouw,0,14
2020-05-29,5-9,Vrouw,0,0
2020-05-29,50-54,Vrouw,0,19
2020-05-29,55-59,Vrouw,0,24
2020-05-29,60-64,Vrouw,0,50
2020-05-29,65-69,Vrouw,0,112
2020-05-29,70-74,Vrouw,1,237
2020-05-29,75-79,Vrouw,1,338
2020-05-29,80-84,Vrouw,2,509
2020-05-29,85-89,Vrouw,4,642
2020-05-29,90-94,Vrouw,5,490
2020-05-29,95+,Vrouw,1,220
