Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-25,0-4,Vrouw,0,0
2020-04-25,0-4,Man,0,0
2020-04-25,10-14,Vrouw,0,0
2020-04-25,10-14,Man,0,0
2020-04-25,15-19,Vrouw,0,0
2020-04-25,15-19,Man,0,1
2020-04-25,20-24,Vrouw,0,0
2020-04-25,20-24,Man,0,0
2020-04-25,25-29,Vrouw,0,0
2020-04-25,25-29,Man,0,3
2020-04-25,30-34,Vrouw,0,1
2020-04-25,30-34,Man,0,2
2020-04-25,35-39,Vrouw,0,1
2020-04-25,35-39,Man,0,4
2020-04-25,40-44,Vrouw,0,0
2020-04-25,40-44,Man,0,4
2020-04-25,45-49,Vrouw,0,10
2020-04-25,45-49,Man,0,5
2020-04-25,5-9,Vrouw,0,0
2020-04-25,5-9,Man,0,0
2020-04-25,50-54,Vrouw,0,14
2020-04-25,50-54,Man,0,18
2020-04-25,55-59,Vrouw,1,19
2020-04-25,55-59,Man,2,54
2020-04-25,60-64,Vrouw,0,38
2020-04-25,60-64,Man,1,83
2020-04-25,65-69,Vrouw,4,88
2020-04-25,65-69,Man,4,170
2020-04-25,70-74,Vrouw,5,181
2020-04-25,70-74,Man,4,300
2020-04-25,75-79,Vrouw,8,259
2020-04-25,75-79,Man,16,533
2020-04-25,80-84,Vrouw,10,378
2020-04-25,80-84,Man,16,560
2020-04-25,85-89,Vrouw,8,424
2020-04-25,85-89,Man,14,529
2020-04-25,90-94,Vrouw,13,318
2020-04-25,90-94,Man,7,226
2020-04-25,95+,Vrouw,7,131
2020-04-25,95+,Man,0,54
