Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-11,0-4,Vrouw,0,0
2020-04-11,5-9,Vrouw,0,0
2020-04-11,10-14,Vrouw,0,0
2020-04-11,15-19,Vrouw,0,0
2020-04-11,20-24,Vrouw,0,0
2020-04-11,25-29,Vrouw,0,0
2020-04-11,30-34,Vrouw,0,1
2020-04-11,35-39,Vrouw,-1,1
2020-04-11,40-44,Vrouw,0,0
2020-04-11,45-49,Vrouw,-9,5
2020-04-11,50-54,Vrouw,-10,10
2020-04-11,55-59,Vrouw,-12,12
2020-04-11,60-64,Vrouw,-31,21
2020-04-11,65-69,Vrouw,-57,57
2020-04-11,70-74,Vrouw,-148,95
2020-04-11,75-79,Vrouw,-185,156
2020-04-11,80-84,Vrouw,-296,226
2020-04-11,85-89,Vrouw,-427,234
2020-04-11,90-94,Vrouw,-339,165
2020-04-11,95+,Vrouw,-166,61
2020-04-11,0-4,Man,0,0
2020-04-11,5-9,Man,0,0
2020-04-11,10-14,Man,0,0
2020-04-11,15-19,Man,-1,0
2020-04-11,20-24,Man,0,0
2020-04-11,25-29,Man,-1,2
2020-04-11,30-34,Man,-2,1
2020-04-11,35-39,Man,-4,1
2020-04-11,40-44,Man,-3,2
2020-04-11,45-49,Man,-7,2
2020-04-11,50-54,Man,-18,9
2020-04-11,55-59,Man,-48,27
2020-04-11,60-64,Man,-59,52
2020-04-11,65-69,Man,-106,111
2020-04-11,70-74,Man,-197,185
2020-04-11,75-79,Man,-310,348
2020-04-11,80-84,Man,-352,384
2020-04-11,85-89,Man,-371,338
2020-04-11,90-94,Man,-202,116
2020-04-11,95+,Man,-56,19
