Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-07,0-4,Vrouw,0,0
2020-06-07,5-9,Vrouw,0,0
2020-06-07,10-14,Vrouw,0,0
2020-06-07,15-19,Vrouw,0,0
2020-06-07,20-24,Vrouw,0,0
2020-06-07,25-29,Vrouw,0,0
2020-06-07,30-34,Vrouw,0,1
2020-06-07,35-39,Vrouw,1,2
2020-06-07,40-44,Vrouw,0,0
2020-06-07,45-49,Vrouw,9,14
2020-06-07,50-54,Vrouw,8,20
2020-06-07,55-59,Vrouw,9,24
2020-06-07,60-64,Vrouw,21,51
2020-06-07,65-69,Vrouw,48,113
2020-06-07,70-74,Vrouw,110,241
2020-06-07,75-79,Vrouw,142,338
2020-06-07,80-84,Vrouw,235,516
2020-06-07,85-89,Vrouw,360,655
2020-06-07,90-94,Vrouw,277,497
2020-06-07,95+,Vrouw,140,224
2020-06-07,0-4,Man,0,0
2020-06-07,5-9,Man,0,0
2020-06-07,10-14,Man,0,0
2020-06-07,15-19,Man,1,1
2020-06-07,20-24,Man,0,0
2020-06-07,25-29,Man,0,3
2020-06-07,30-34,Man,2,3
2020-06-07,35-39,Man,2,5
2020-06-07,40-44,Man,2,5
2020-06-07,45-49,Man,6,9
2020-06-07,50-54,Man,9,27
2020-06-07,55-59,Man,37,75
2020-06-07,60-64,Man,45,111
2020-06-07,65-69,Man,78,216
2020-06-07,70-74,Man,143,379
2020-06-07,75-79,Man,220,653
2020-06-07,80-84,Man,284,734
2020-06-07,85-89,Man,293,703
2020-06-07,90-94,Man,172,318
2020-06-07,95+,Man,45,75
