Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-12-22,0-4,Man,0,0
2020-12-22,10-14,Man,0,0
2020-12-22,15-19,Man,0,2
2020-12-22,20-24,Man,1,1
2020-12-22,25-29,Man,1,4
2020-12-22,30-34,Man,0,4
2020-12-22,35-39,Man,1,10
2020-12-22,40-44,Man,1,11
2020-12-22,45-49,Man,0,24
2020-12-22,5-9,Man,0,0
2020-12-22,50-54,Man,1,51
2020-12-22,55-59,Man,2,101
2020-12-22,60-64,Man,6,169
2020-12-22,65-69,Man,16,336
2020-12-22,70-74,Man,33,649
2020-12-22,75-79,Man,38,1077
2020-12-22,80-84,Man,51,1315
2020-12-22,85-89,Man,44,1301
2020-12-22,90-94,Man,38,632
2020-12-22,95+,Man,8,154
2020-12-22,0-4,Vrouw,0,0
2020-12-22,10-14,Vrouw,0,0
2020-12-22,15-19,Vrouw,0,0
2020-12-22,20-24,Vrouw,0,0
2020-12-22,25-29,Vrouw,0,0
2020-12-22,30-34,Vrouw,0,2
2020-12-22,35-39,Vrouw,0,4
2020-12-22,40-44,Vrouw,0,1
2020-12-22,45-49,Vrouw,2,21
2020-12-22,5-9,Vrouw,0,0
2020-12-22,50-54,Vrouw,4,34
2020-12-22,55-59,Vrouw,1,43
2020-12-22,60-64,Vrouw,3,87
2020-12-22,65-69,Vrouw,6,173
2020-12-22,70-74,Vrouw,10,365
2020-12-22,75-79,Vrouw,25,582
2020-12-22,80-84,Vrouw,44,930
2020-12-22,85-89,Vrouw,48,1163
2020-12-22,90-94,Vrouw,52,943
2020-12-22,95+,Vrouw,29,444
