Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-12,0-4,Man,0,0
2020-05-12,10-14,Man,0,0
2020-05-12,15-19,Man,0,1
2020-05-12,20-24,Man,0,0
2020-05-12,25-29,Man,0,3
2020-05-12,30-34,Man,0,2
2020-05-12,35-39,Man,0,5
2020-05-12,40-44,Man,0,5
2020-05-12,45-49,Man,0,7
2020-05-12,5-9,Man,0,0
2020-05-12,50-54,Man,1,22
2020-05-12,55-59,Man,1,67
2020-05-12,60-64,Man,0,101
2020-05-12,65-69,Man,0,194
2020-05-12,70-74,Man,4,350
2020-05-12,75-79,Man,3,623
2020-05-12,80-84,Man,4,687
2020-05-12,85-89,Man,7,650
2020-05-12,90-94,Man,5,282
2020-05-12,95+,Man,1,71
2020-05-12,0-4,Vrouw,0,0
2020-05-12,10-14,Vrouw,0,0
2020-05-12,15-19,Vrouw,0,0
2020-05-12,20-24,Vrouw,0,0
2020-05-12,25-29,Vrouw,0,0
2020-05-12,30-34,Vrouw,0,1
2020-05-12,35-39,Vrouw,0,2
2020-05-12,40-44,Vrouw,0,0
2020-05-12,45-49,Vrouw,0,13
2020-05-12,5-9,Vrouw,0,0
2020-05-12,50-54,Vrouw,0,18
2020-05-12,55-59,Vrouw,1,23
2020-05-12,60-64,Vrouw,1,47
2020-05-12,65-69,Vrouw,-1,107
2020-05-12,70-74,Vrouw,1,223
2020-05-12,75-79,Vrouw,4,320
2020-05-12,80-84,Vrouw,6,475
2020-05-12,85-89,Vrouw,4,574
2020-05-12,90-94,Vrouw,10,442
2020-05-12,95+,Vrouw,2,195
