Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-01,0-4,Vrouw,0,0
2020-05-01,5-9,Vrouw,0,0
2020-05-01,10-14,Vrouw,0,0
2020-05-01,15-19,Vrouw,0,0
2020-05-01,20-24,Vrouw,0,0
2020-05-01,25-29,Vrouw,0,0
2020-05-01,30-34,Vrouw,0,1
2020-05-01,35-39,Vrouw,-1,1
2020-05-01,40-44,Vrouw,0,0
2020-05-01,45-49,Vrouw,-2,11
2020-05-01,50-54,Vrouw,-1,17
2020-05-01,55-59,Vrouw,-2,21
2020-05-01,60-64,Vrouw,-4,45
2020-05-01,65-69,Vrouw,-12,96
2020-05-01,70-74,Vrouw,-23,204
2020-05-01,75-79,Vrouw,-36,286
2020-05-01,80-84,Vrouw,-59,423
2020-05-01,85-89,Vrouw,-101,485
2020-05-01,90-94,Vrouw,-91,359
2020-05-01,95+,Vrouw,-35,164
2020-05-01,0-4,Man,0,0
2020-05-01,5-9,Man,0,0
2020-05-01,10-14,Man,0,0
2020-05-01,15-19,Man,0,1
2020-05-01,20-24,Man,0,0
2020-05-01,25-29,Man,0,3
2020-05-01,30-34,Man,0,2
2020-05-01,35-39,Man,0,5
2020-05-01,40-44,Man,0,5
2020-05-01,45-49,Man,-2,6
2020-05-01,50-54,Man,-3,19
2020-05-01,55-59,Man,-10,59
2020-05-01,60-64,Man,-8,94
2020-05-01,65-69,Man,-11,184
2020-05-01,70-74,Man,-39,318
2020-05-01,75-79,Man,-54,573
2020-05-01,80-84,Man,-71,624
2020-05-01,85-89,Man,-80,577
2020-05-01,90-94,Man,-41,249
2020-05-01,95+,Man,-12,60
