Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-16,0-4,Man,0,0
2020-04-16,10-14,Man,0,0
2020-04-16,15-19,Man,0,0
2020-04-16,20-24,Man,0,0
2020-04-16,25-29,Man,0,3
2020-04-16,30-34,Man,0,1
2020-04-16,35-39,Man,1,3
2020-04-16,40-44,Man,0,3
2020-04-16,45-49,Man,0,3
2020-04-16,5-9,Man,0,0
2020-04-16,50-54,Man,3,18
2020-04-16,55-59,Man,1,38
2020-04-16,60-64,Man,2,66
2020-04-16,65-69,Man,6,138
2020-04-16,70-74,Man,12,236
2020-04-16,75-79,Man,16,433
2020-04-16,80-84,Man,20,450
2020-04-16,85-89,Man,16,410
2020-04-16,90-94,Man,6,146
2020-04-16,95+,Man,4,30
2020-04-16,0-4,Vrouw,0,0
2020-04-16,10-14,Vrouw,0,0
2020-04-16,15-19,Vrouw,0,0
2020-04-16,20-24,Vrouw,0,0
2020-04-16,25-29,Vrouw,0,0
2020-04-16,30-34,Vrouw,0,1
2020-04-16,35-39,Vrouw,0,1
2020-04-16,40-44,Vrouw,0,0
2020-04-16,45-49,Vrouw,0,5
2020-04-16,5-9,Vrouw,0,0
2020-04-16,50-54,Vrouw,-1,12
2020-04-16,55-59,Vrouw,0,15
2020-04-16,60-64,Vrouw,2,30
2020-04-16,65-69,Vrouw,1,65
2020-04-16,70-74,Vrouw,9,131
2020-04-16,75-79,Vrouw,15,196
2020-04-16,80-84,Vrouw,14,281
2020-04-16,85-89,Vrouw,20,295
2020-04-16,90-94,Vrouw,25,220
2020-04-16,95+,Vrouw,9,84
