Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-24,0-4,Vrouw,0,0
2020-04-24,5-9,Vrouw,0,0
2020-04-24,10-14,Vrouw,0,0
2020-04-24,15-19,Vrouw,0,0
2020-04-24,20-24,Vrouw,0,0
2020-04-24,25-29,Vrouw,0,0
2020-04-24,30-34,Vrouw,0,1
2020-04-24,35-39,Vrouw,-1,1
2020-04-24,40-44,Vrouw,0,0
2020-04-24,45-49,Vrouw,-4,10
2020-04-24,50-54,Vrouw,-6,14
2020-04-24,55-59,Vrouw,-6,18
2020-04-24,60-64,Vrouw,-13,38
2020-04-24,65-69,Vrouw,-30,84
2020-04-24,70-74,Vrouw,-67,176
2020-04-24,75-79,Vrouw,-88,251
2020-04-24,80-84,Vrouw,-150,368
2020-04-24,85-89,Vrouw,-242,416
2020-04-24,90-94,Vrouw,-194,305
2020-04-24,95+,Vrouw,-101,124
2020-04-24,0-4,Man,0,0
2020-04-24,5-9,Man,0,0
2020-04-24,10-14,Man,0,0
2020-04-24,15-19,Man,0,1
2020-04-24,20-24,Man,0,0
2020-04-24,25-29,Man,0,3
2020-04-24,30-34,Man,-1,2
2020-04-24,35-39,Man,-1,4
2020-04-24,40-44,Man,-1,4
2020-04-24,45-49,Man,-4,5
2020-04-24,50-54,Man,-9,18
2020-04-24,55-59,Man,-23,52
2020-04-24,60-64,Man,-29,82
2020-04-24,65-69,Man,-51,166
2020-04-24,70-74,Man,-83,296
2020-04-24,75-79,Man,-138,517
2020-04-24,80-84,Man,-190,544
2020-04-24,85-89,Man,-191,515
2020-04-24,90-94,Man,-99,219
2020-04-24,95+,Man,-21,54
