Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-07-21,0-4,Man,0,0
2020-07-21,10-14,Man,0,0
2020-07-21,15-19,Man,0,1
2020-07-21,20-24,Man,0,0
2020-07-21,25-29,Man,0,3
2020-07-21,30-34,Man,0,3
2020-07-21,35-39,Man,0,5
2020-07-21,40-44,Man,0,7
2020-07-21,45-49,Man,0,9
2020-07-21,5-9,Man,0,0
2020-07-21,50-54,Man,0,27
2020-07-21,55-59,Man,0,75
2020-07-21,60-64,Man,-1,112
2020-07-21,65-69,Man,0,223
2020-07-21,70-74,Man,0,386
2020-07-21,75-79,Man,-1,660
2020-07-21,80-84,Man,0,744
2020-07-21,85-89,Man,3,721
2020-07-21,90-94,Man,0,324
2020-07-21,95+,Man,0,74
2020-07-21,0-4,Vrouw,0,0
2020-07-21,10-14,Vrouw,0,0
2020-07-21,15-19,Vrouw,0,0
2020-07-21,20-24,Vrouw,0,0
2020-07-21,25-29,Vrouw,0,0
2020-07-21,30-34,Vrouw,0,1
2020-07-21,35-39,Vrouw,0,2
2020-07-21,40-44,Vrouw,0,0
2020-07-21,45-49,Vrouw,0,15
2020-07-21,5-9,Vrouw,0,0
2020-07-21,50-54,Vrouw,0,20
2020-07-21,55-59,Vrouw,0,24
2020-07-21,60-64,Vrouw,-1,51
2020-07-21,65-69,Vrouw,0,115
2020-07-21,70-74,Vrouw,1,243
2020-07-21,75-79,Vrouw,0,346
2020-07-21,80-84,Vrouw,-1,527
2020-07-21,85-89,Vrouw,0,667
2020-07-21,90-94,Vrouw,-1,514
2020-07-21,95+,Vrouw,2,237
