Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-15,0-4,Man,0,0
2020-04-15,10-14,Man,0,0
2020-04-15,15-19,Man,0,0
2020-04-15,20-24,Man,0,0
2020-04-15,25-29,Man,0,3
2020-04-15,30-34,Man,0,1
2020-04-15,35-39,Man,0,2
2020-04-15,40-44,Man,0,3
2020-04-15,45-49,Man,1,3
2020-04-15,5-9,Man,0,0
2020-04-15,50-54,Man,1,15
2020-04-15,55-59,Man,6,37
2020-04-15,60-64,Man,5,64
2020-04-15,65-69,Man,5,132
2020-04-15,70-74,Man,8,224
2020-04-15,75-79,Man,28,417
2020-04-15,80-84,Man,21,430
2020-04-15,85-89,Man,23,394
2020-04-15,90-94,Man,10,140
2020-04-15,95+,Man,2,26
2020-04-15,0-4,Vrouw,0,0
2020-04-15,10-14,Vrouw,0,0
2020-04-15,15-19,Vrouw,0,0
2020-04-15,20-24,Vrouw,0,0
2020-04-15,25-29,Vrouw,0,0
2020-04-15,30-34,Vrouw,0,1
2020-04-15,35-39,Vrouw,0,1
2020-04-15,40-44,Vrouw,0,0
2020-04-15,45-49,Vrouw,0,5
2020-04-15,5-9,Vrouw,0,0
2020-04-15,50-54,Vrouw,0,13
2020-04-15,55-59,Vrouw,1,15
2020-04-15,60-64,Vrouw,1,28
2020-04-15,65-69,Vrouw,3,64
2020-04-15,70-74,Vrouw,15,122
2020-04-15,75-79,Vrouw,9,181
2020-04-15,80-84,Vrouw,15,267
2020-04-15,85-89,Vrouw,16,275
2020-04-15,90-94,Vrouw,13,195
2020-04-15,95+,Vrouw,6,75
