Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-04,0-4,Vrouw,0,0
2020-05-04,5-9,Vrouw,0,0
2020-05-04,10-14,Vrouw,0,0
2020-05-04,15-19,Vrouw,0,0
2020-05-04,20-24,Vrouw,0,0
2020-05-04,25-29,Vrouw,0,0
2020-05-04,30-34,Vrouw,0,1
2020-05-04,35-39,Vrouw,0,1
2020-05-04,40-44,Vrouw,0,0
2020-05-04,45-49,Vrouw,0,11
2020-05-04,50-54,Vrouw,0,18
2020-05-04,55-59,Vrouw,0,21
2020-05-04,60-64,Vrouw,0,46
2020-05-04,65-69,Vrouw,0,101
2020-05-04,70-74,Vrouw,2,212
2020-05-04,75-79,Vrouw,1,295
2020-05-04,80-84,Vrouw,4,440
2020-05-04,85-89,Vrouw,2,514
2020-05-04,90-94,Vrouw,4,377
2020-05-04,95+,Vrouw,1,174
2020-05-04,0-4,Man,0,0
2020-05-04,5-9,Man,0,0
2020-05-04,10-14,Man,0,0
2020-05-04,15-19,Man,0,1
2020-05-04,20-24,Man,0,0
2020-05-04,25-29,Man,0,3
2020-05-04,30-34,Man,0,2
2020-05-04,35-39,Man,0,5
2020-05-04,40-44,Man,0,5
2020-05-04,45-49,Man,0,6
2020-05-04,50-54,Man,0,19
2020-05-04,55-59,Man,1,61
2020-05-04,60-64,Man,1,96
2020-05-04,65-69,Man,0,187
2020-05-04,70-74,Man,0,326
2020-05-04,75-79,Man,3,589
2020-05-04,80-84,Man,4,651
2020-05-04,85-89,Man,2,599
2020-05-04,90-94,Man,1,257
2020-05-04,95+,Man,0,63
