Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-09-22,0-4,Man,0,0
2020-09-22,10-14,Man,0,0
2020-09-22,15-19,Man,0,1
2020-09-22,20-24,Man,0,0
2020-09-22,25-29,Man,0,3
2020-09-22,30-34,Man,0,3
2020-09-22,35-39,Man,0,5
2020-09-22,40-44,Man,0,7
2020-09-22,45-49,Man,1,10
2020-09-22,5-9,Man,0,0
2020-09-22,50-54,Man,0,30
2020-09-22,55-59,Man,0,75
2020-09-22,60-64,Man,0,116
2020-09-22,65-69,Man,0,229
2020-09-22,70-74,Man,4,395
2020-09-22,75-79,Man,4,673
2020-09-22,80-84,Man,4,761
2020-09-22,85-89,Man,5,739
2020-09-22,90-94,Man,2,335
2020-09-22,95+,Man,0,75
2020-09-22,0-4,Vrouw,0,0
2020-09-22,10-14,Vrouw,0,0
2020-09-22,15-19,Vrouw,0,0
2020-09-22,20-24,Vrouw,0,0
2020-09-22,25-29,Vrouw,0,0
2020-09-22,30-34,Vrouw,0,1
2020-09-22,35-39,Vrouw,0,2
2020-09-22,40-44,Vrouw,0,0
2020-09-22,45-49,Vrouw,0,15
2020-09-22,5-9,Vrouw,0,0
2020-09-22,50-54,Vrouw,0,20
2020-09-22,55-59,Vrouw,0,25
2020-09-22,60-64,Vrouw,0,51
2020-09-22,65-69,Vrouw,0,116
2020-09-22,70-74,Vrouw,0,249
2020-09-22,75-79,Vrouw,2,355
2020-09-22,80-84,Vrouw,3,544
2020-09-22,85-89,Vrouw,2,679
2020-09-22,90-94,Vrouw,5,537
2020-09-22,95+,Vrouw,1,240
