Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-27,0-4,Vrouw,0,0
2020-04-27,5-9,Vrouw,0,0
2020-04-27,10-14,Vrouw,0,0
2020-04-27,15-19,Vrouw,0,0
2020-04-27,20-24,Vrouw,0,0
2020-04-27,25-29,Vrouw,0,0
2020-04-27,30-34,Vrouw,0,1
2020-04-27,35-39,Vrouw,-1,1
2020-04-27,40-44,Vrouw,0,0
2020-04-27,45-49,Vrouw,-4,10
2020-04-27,50-54,Vrouw,-5,15
2020-04-27,55-59,Vrouw,-5,19
2020-04-27,60-64,Vrouw,-14,38
2020-04-27,65-69,Vrouw,-23,91
2020-04-27,70-74,Vrouw,-58,185
2020-04-27,75-79,Vrouw,-79,266
2020-04-27,80-84,Vrouw,-137,387
2020-04-27,85-89,Vrouw,-223,441
2020-04-27,90-94,Vrouw,-179,328
2020-04-27,95+,Vrouw,-91,139
2020-04-27,0-4,Man,0,0
2020-04-27,5-9,Man,0,0
2020-04-27,10-14,Man,0,0
2020-04-27,15-19,Man,0,1
2020-04-27,20-24,Man,0,0
2020-04-27,25-29,Man,0,3
2020-04-27,30-34,Man,-1,2
2020-04-27,35-39,Man,-1,4
2020-04-27,40-44,Man,-2,4
2020-04-27,45-49,Man,-4,5
2020-04-27,50-54,Man,-8,19
2020-04-27,55-59,Man,-21,54
2020-04-27,60-64,Man,-26,86
2020-04-27,65-69,Man,-48,172
2020-04-27,70-74,Man,-81,303
2020-04-27,75-79,Man,-114,544
2020-04-27,80-84,Man,-168,572
2020-04-27,85-89,Man,-170,541
2020-04-27,90-94,Man,-89,232
2020-04-27,95+,Man,-21,54
